관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호,썸네일 이미지경로
"추자여관,추자항근처,추자도,화장실,무료 WIFI,카드결제,현금결제,없음,동반불가능,없음,흡연구역제공,식음료장,세탁서비스,없음,운행안함",CNTS_200000000009121,여정여관,제주특별자치도 제주시 추자면 대서리 4-4,제주특별자치도 제주시 추자면 추자로 4-1,"추자여관,추자항근처,추자도,숙소,민박,여관","추자항 바로 앞  1,2층 구조",33.9623861,126.29786,,064-742-8111,
"추자항근처,추자숙박,추자도,화장실,흡연구역,편의점,카드결제,현금결제,아주 어려움,없음,동반불가능,없음,흡연구역제공,바베큐장,없음,운행",CNTS_200000000009131,다미네민박,제주특별자치도 제주시 추자면 대서리 211-3,제주특별자치도 제주시 추자면 대서6길 46,"추자항근처,추자숙박,추자도,숙소,민박,농어촌민박,교통,자연경관",2층 마당에서 추자항이 훤히 보이는 곳,33.9642903,126.2929862,,010-3693-9771,
"추자항,추자숙소,추자도,화장실,무료 WIFI,편의점,카드결제,현금결제,아주 어려움,없음,동반불가능,없음,전체금연,인터넷,없음,운행안함",CNTS_200000000009086,황재여관,제주특별자치도 제주시 추자면 영흥리 367-10,제주특별자치도 제주시 추자면 추자로 70,"추자항,추자숙소,추자도,숙소,포장판매,여관",황재여관,33.961067,126.2948767,,064-742-7507,
"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018230,예다움휴양펜션,제주특별자치도 제주시 이호일동 350-1,제주특별자치도 제주시 백포북길 25,"펜션,숙소,휴양펜션,자연경관,해변,바비큐",예쁘고 정다움이 깃든 팬션,33.5029118,126.4589403,,064-711-3030,
"휴식,숙소,호텔,모텔,주차장,공공와이파이존,공항,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019420,메이플호텔,제주특별자치도 제주시 노형동 912-12,제주특별자치도 제주시 원노형3길 41,"휴식,숙소,호텔,모텔,주차장,공공와이파이존,공항",제주시내 중심가에 위치한 교통이 편리한 호텔,33.4865192,126.4817631,,064-745-6775,
"호스텔,펜션,휴양펜션,주차장,공공와이파이존,낚시,스쿠버다이빙,독채,바비큐,수영장,조식 포함,카페,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,아주 어려움",CONT_000000000501029,나인 부띠끄,제주특별자치도 서귀포시 서귀동 644-1,제주특별자치도 서귀포시 솔동산로10번길 23,"호스텔,펜션,휴양펜션,주차장,공공와이파이존,낚시,스쿠버다이빙,독채,바비큐,수영장,조식 포함,카페",서귀포내 관광지와의 접근성이 좋은 호텔,33.2426258,126.5629447,,064-762-0045,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019239,밀레니엄빌,제주특별자치도 서귀포시 보목동 1502,제주특별자치도 서귀포시 보목로64번길 196,"휴식,숙소,민박,주차장,바비큐,교통,물품보관서비스,공공와이파이존,부대시설,식당,노래방,정원",겨울에도 꽃이 피는 제주도에서 제일 따뜻한 화훼단지 옆에 위치한 곳,33.2452066,126.5899924,,064-763-1796,
휴식 ,CNTS_000000000021172,더블루제주,제주특별자치도 서귀포시 보목동 750-1,제주특별자치도 서귀포시 칠십리로 479,"휴식,숙소,호스텔/소형호텔,단체여행객,주차장,공공와이파이존,편의시설",서귀포 보목동에 위치한 호텔,33.24195,126.60178,63599,064-732-6101,
"펜션,휴양펜션,게스트하우스,조식 포함,해수욕장,공공와이파이존,해변,자연경관,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500822,다노이커플펜션,제주특별자치도 제주시 구좌읍 동복리 1493-1,제주특별자치도 제주시 구좌읍 동복로 51,"펜션,휴양펜션,게스트하우스,조식 포함,해수욕장,공공와이파이존,해변,자연경관",제주시 구좌읍 동복리에 위치한 다노이숙소&카페,33.5531955,126.7117668,,010-9614-2555,
"화장실,무료 WIFI",CNTS_000000000022207,루시드엠,제주특별자치도 서귀포시 안덕면 사계리 1637-2,제주특별자치도 서귀포시 안덕면 사계북로 120,"숙소,주차장,공공와이파이존,리조트,휴양콘도",루시드엠은 사계해안도로에 위치해있으며 산방산 전망이 가능한 리조트다.,33.23685,126.30055,63528,064-794-1690,
"펜션,숙소,휴양펜션,통나무집민박,자연학습장,바비큐,체험,낚시,독채,가족,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018981,제주도통나무펜션,제주특별자치도 서귀포시 남원읍 남원리 2355-8,제주특별자치도 서귀포시 남원읍 태위로 551-5,"펜션,숙소,휴양펜션,통나무집민박,자연학습장,바비큐,체험,낚시,독채,가족",남원 영화박물관과 해안경승지 맞은편에 위치한 펜션,33.2762767,126.7055972,,064-764-2103,
"게스트하우스,공용주차장,현금결제,카드결제,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500998,우리두리게스트하우스,제주특별자치도 서귀포시 표선면 표선리 2390-2,제주특별자치도 서귀포시 표선면 민속해안로119번길 10-1,"게스트하우스,숙소,공공와이파이존,해수욕장,독채","제주도 표선면에 위치한 컨테이너로 지어진 컬러풀한 이색숙소
",33.307407,126.81277,63629,010-2616-1822,
"펜션,숙소,휴양펜션,공공와이파이존,독채,해수욕장,수상레저,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,유도 및 안내시설,경보 및 피난시설,어려움",CNTS_000000000022823,사면초가펜션,제주특별자치도 제주시 한경면 판포리 1968,제주특별자치도 제주시 한경면 판조로 62,"펜션,숙소,휴양펜션,공공와이파이존,독채,해수욕장,수상레저",넓은 정원과 제주의 옛 멋을 간직하여 네츄럴과 모던의 조화가 매력적인 펜션,33.36308,126.20803,63003,010-3698-9323,
"반려동물,반려동물동반,반려동물전용,예스펫존,반려동물동반입장,혼저옵서개,강아지,반려동물여행,숙박,펜션,반려동물동반숙소,공용주차장,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,동반가능,바베큐장",CNTS_200000000014293,채우리네펜션,제주특별자치도 서귀포시 토평동 610-9,제주특별자치도 서귀포시 검은여로 67,"반려동물,반려동물동반입장,숙박,펜션,반려동물동반_숙소,숙소",채우리네펜션은 반려동물과 함께 즐거운 하룻밤을 보낼 수 있는 반려견 동반 펜션이다.,33.2495927,126.5813354,,,
"휴식,숙소,게스트하우스,힐링쉼터,마을산책,카페,조식,공용주차장,현금결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",CNTS_000000000020876,곰씨비씨게스트하우스,제주특별자치도 서귀포시 안덕면 창천리 817-1,제주특별자치도 서귀포시 안덕면 난드르로21번길 13-7,"휴식,숙소,게스트하우스,힐링쉼터,마을산책,카페,조식",정겨운 개나리같은 게스트하우스,33.234142,126.367134,63533,070-3330-7101,
"휴식,펜션,정원,자연경관,해변,온돌방,공공와이파이존,주차장,관광호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501050,제주스테이비우다,제주특별자치도 서귀포시 색달동 1534,제주특별자치도 서귀포시 색달중앙로121번길 45,"휴식,펜션,정원,자연경관,해변,온돌방,공공와이파이존,주차장,관광호텔","제주 남부 중문지역에 위치하며, 비우다, 채우다, 나누다, 품은 으로 나누어진 복합문화공간",33.2651183,126.4092475,,064-739-5003,
"휴식,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019385,더아름다운펜션,제주특별자치도 서귀포시 회수동 670-1,제주특별자치도 서귀포시 일주서로 632,"휴식,숙소,휴양펜션,펜션,서귀포,주차장,단체여행객,중문관광단지,정원",서귀포의 편안하고 분위기 좋은 콘도형 펜션,33.2538393,126.4420593,,064-738-8788,
"호텔,숙소,공공와이파이존,양식레스토랑,주차장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,장애인 전용 객실,아주 어려움",CNTS_000000000018205,탑팰리스호텔,제주특별자치도 제주시 일도일동 1279-5,제주특별자치도 제주시 중앙로 34,"호텔,숙소,공공와이파이존,양식레스토랑,주차장,무장애관광","탑동에 위치, 에메랄드빛 바다가 내려다 보이는 호텔",33.5152449,126.5245946,,064-721-8898,
"숙소,민박,농어촌민박,조식,주차장,공공와이파이존",CNTS_000000000021504,제주잔잔,제주특별자치도 서귀포시 보목동 677,제주특별자치도 서귀포시 칠십리로485번길 15-17,"숙소,민박,농어촌민박,조식,주차장,공공와이파이존",잔잔한 휴식을 취하다,33.2426363,126.600949,63599,064-762-1517,
"나바론하늘길,후포해변,추자도,화장실,흡연구역,카드결제,현금결제,아주 어려움,없음,동반불가능,유료제공,흡연구역제공,식음료장,세탁서비스,바베큐장,없음,운행",CNTS_200000000009132,레몬이네 민박,제주특별자치도 제주시 추자면 대서리 211-3,제주특별자치도 제주시 추자면 대서6길 46,"나바론하늘길,후포해변,추자도,숙소,민박,농어촌민박,교통,해변,바비큐",후포해변과 나바론하늘길 인접한 민박,33.9642903,126.2929862,,010-4513-7081,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019075,이어도펜션,제주특별자치도 제주시 도두일동 2617-3,제주특별자치도 제주시 도두항서5길 3,"휴식,숙소,휴양펜션,펜션,민박,고향민박,해안도로,바비큐,공공와이파이존",공항에서 10분거리에 위치한 펜션,33.5045692,126.4640453,,064-711-2144,
"휴식,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500789,고추잠자리 게스트하우스,제주특별자치도 제주시 연동 2526-4,제주특별자치도 제주시 도령로 190,"휴식,게스트하우스,숙소,공항,조식 포함,음식,온돌방",제주공항에서 도보 5분거리,33.4966771,126.495282,,010-6283-2434,
"휴식,숙소,펜션,휴양펜션,통나무집민박,자연경관,해변,바비큐,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019393,바다산책,제주특별자치도 서귀포시 남원읍 남원리 1398-3,제주특별자치도 서귀포시 남원읍 남태해안로 11-15,"휴식,숙소,펜션,휴양펜션,통나무집민박,자연경관,해변,바비큐,공공와이파이존",남원큰엉까지 이어지는 해안절벽산책로가 매력적인 숙소,33.2755419,126.7107131,,064-764-9955,
"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,경보 및 피난시설,아주 어려움",CONT_000000000500934,셋째날,제주특별자치도 서귀포시 상효동 549-2,제주특별자치도 서귀포시 하신상로 273-7,"펜션,휴양펜션,민박,공공와이파이존,단체여행객,해수욕장,체험,온돌방,자연경관,해변,바비큐","서귀포에 한라산과 섶섭 바다가 시원하게 펼쳐 보이고,감귤밭이 딸려 있는 오픈2년된 신축펜션",33.3306923,126.5673572,,064-733-7339,
"펜션,숙소,휴양펜션,자연경관,해변,공공와이파이존,바비큐,해수욕장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018706,마빈,제주특별자치도 제주시 조천읍 북촌리 688,제주특별자치도 제주시 조천읍 일주동로 1532,"펜션,숙소,휴양펜션,자연경관,해변,공공와이파이존,바비큐,해수욕장",제주를 관광하기에 편리한 위치에있는 펜션마빈은 함덕해수욕장 인접에 있습니다.,33.5489689,126.6975528,,064-784-5670,
"호텔,숙소,가족호텔,스파,주차장,자연경관,해변,부대시설,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,아주 어려움",CNTS_000000000000593,코자호텔,제주특별자치도 서귀포시 대정읍 하모리 2133-5,제주특별자치도 서귀포시 대정읍 최남단해안로 44,"호텔,숙소,가족호텔,스파,주차장,자연경관,해변,부대시설,무장애관광",제주 천연 화산 해수 스파를 테마로 한 부티끄 호텔,33.2166491,126.2522091,63506,064-794-2300,
"호텔,숙소,공항,주차장,공공와이파이존,양식레스토랑,카페라떼,바비큐,관광호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,어려움",CNTS_000000000018163,에스호텔,제주특별자치도 제주시 도두1동 2272-2,제주특별자치도 제주시 오일장중길 26,"호텔,숙소,공항,주차장,공공와이파이존,양식레스토랑,카페라떼,바비큐,관광호텔",제주오일장과 가깝고 활주로와 바다가 내려다보이는 호텔,33.495434,126.47151,63116,064-749-9926,
"게스트하우스,숙소,온돌방,가족,조식 포함,공공와이파이존,공용주차장,화장실,무료 WIFI",CNTS_000000000021085,레몬트리게스트하우스 1호점,제주특별자치도 서귀포시 대정읍 하모리 770-2,제주특별자치도 서귀포시 대정읍 하모항구로 70,"게스트하우스,숙소,온돌방,가족,조식 포함,공공와이파이존",4개 국어가 가능한 게스트하우스,33.219604,126.25139,63506,064-794-2525,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,장애인 화장실,승강기,장애인 전용 주차장,어려움",CONT_000000000500763,타미우스골프앤빌리지,제주특별자치도 제주시 애월읍 봉성리 52-5,제주특별자치도 제주시 애월읍 화전길 201,"휴식,호텔,주차장,공공와이파이존,골프,리조트,무장애관광",일본 자연주의 철학자이자 코스설계자 가토슌수케의 코스디자인이 풍경화처럼 아름다운 골프장,33.3689588,126.3505941,,064-793-0707,
"숙소,휴양펜션,펜션,동백,바비큐,공공와이파이존,편백나무펜션,온돌방,공용주차장",CNTS_000000000022351,동백동산펜션,제주시 조천읍 선흘리 999,제주시 조천읍 북흘로 378,"숙소,휴양펜션,펜션,동백,바비큐,공공와이파이존,편백나무펜션,온돌방",전 객실 편백나무 내장된 곶자왈 속 펜션,33.516254,126.70612,,--,
"호텔,숙소,공공와이파이존,주차장,편의시설,가족호텔,공용주차장,화장실,아주 어려움",CNTS_000000000021123,브리즈베이호텔,제주특별자치도 서귀포시 성산읍 성산리 382-6,제주특별자치도 서귀포시 성산읍 성산등용로 42,"호텔,숙소,공공와이파이존,주차장,편의시설,가족호텔",성산일출봉 근처에 위치한 호텔,33.46654,126.93076,63643,064-784-0000,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019612,킹스통나무,제주특별자치도 제주시 애월읍 납읍리 124,제주특별자치도 제주시 애월읍 도치돌길 279-1,"휴식,숙소,펜션,휴양펜션,단체여행객,바비큐,해수욕장,독채",애월 경마공원 근처에 위치한 통나무 독채펜션,33.4108192,126.3644577,,064-799-7233,
"휴식,숙소,휴양펜션,펜션,독채,산책로,바비큐,가족,노래방,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019355,마당돌펜션,제주특별자치도 서귀포시 대정읍 무릉리 3878-8,제주특별자치도 서귀포시 대정읍 노을해안로 410,"휴식,숙소,휴양펜션,펜션,독채,산책로,바비큐,가족,노래방","고산해안도로에 위치, 객실 모두 바다전망인 팬션",33.25609,126.190796,63501,010-6318-3995,
"호스텔,숙소,리조트,바비큐,온돌방,단체여행객,공용주차장,화장실,무료 WIFI",CNTS_000000000022490,엠버리조트,제주특별자치도 제주시 노형동 310-2,제주특별자치도 제주시 1100로 2671-51,"호스텔,숙소,리조트,바비큐,온돌방,단체여행객",엠버그룹에서 운영하는 최고급 리조트,33.423725,126.48906,63078,064-805-8695,
"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019017,파크빌리지,제주특별자치도 제주시 애월읍 상귀리 667-5,제주특별자치도 제주시 애월읍 상귀서길 82-12,"펜션,숙소,어린이,테마공원,휴양펜션,공공와이파이존,노래방,통나무집민박,주차장,바비큐,수영장,힐링쉼터,정원,가족,어린이놀이터",잣나무 낙엽송으로 내부 인테리어를 한 자연 웰빙테마의 펜션,33.4651885,126.4053912,,064-713-2627,
"휴식/힐링,숙소,호텔,공항,주차장,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501067,포시즌호텔,제주특별자치도 제주시 노형동 914,제주특별자치도 제주시 원노형3길 19,"휴식/힐링,숙소,호텔,공항,주차장,공공와이파이존",세련되고 특별한 디자인의 호텔,33.483098,126.4772312,,064-900-5453,
"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000020951,스토리인제주게스트하우스,제주특별자치도 제주시 이도일동 1387-3,제주특별자치도 제주시 중앙로12길 5,"휴식,숙소,게스트하우스,공항,제주동문시장,안전인증민박,공공와이파이존,바비큐","제주 공항에서 10분거리, 동문시장 바로 옆에 위치한 스토리인제주 게스트하우스입니다.",33.5118057,126.5239394,,064-757-3796,
"유스호스텔,숙소,휴양콘도,리조트,주차장,펜션,휴양펜션,가족,단체여행객,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018704,메이풀하우스,제주특별자치도 제주시 조천읍 대흘리 1728-2,제주특별자치도 제주시 조천읍 곱은달서길 165,"유스호스텔,숙소,휴양콘도,리조트,주차장,펜션,휴양펜션,가족,단체여행객","각종 휴양레포츠를 즐길수 있는 함덕해수욕장과 섭지코지, 성산일출봉과 근접한 북제주군에 위치한 메이풀유스호스텔입니다.",33.5011023,126.6616581,,064-784-7823,
"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500874,몬떼뷰 스테이,제주특별자치도 서귀포시 안덕면 사계리 2277-2,제주특별자치도 서귀포시 안덕면 사계남로 75-9,"펜션,숙소,휴양펜션,수영장,조식 포함,공공와이파이존,온돌방,바비큐,해수욕장,독채,해변,수상레저,계곡,문화관광",산방산과 아름다운 사계 바다 조망이 좋은 곳,33.23017,126.30181,,010-8246-4317,
"공용주차장,현금결제,화장실,무료 WIFI,편의점",CNTS_000000000021321,가파도상동펜션,제주특별자치도 서귀포시 대정읍 가파리 209,제주특별자치도 서귀포시 대정읍 가파로 255,"숙소,휴양펜션,펜션,가파도,온돌방,바비큐,교통,단체여행객,공공와이파이존,해수욕장,독채,방갈로숙박촌",가파도 선착장 바로 앞에 위치한 펜션,33.174137,126.27002,63514,010-2699-3029,
"휴식,숙소,게스트하우스,단체여행객,공공와이파이존,올레길,서귀포,도보여행,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019923,올레스테이,제주특별자치도 서귀포시 서귀동 316-1,제주특별자치도 서귀포시 중정로 22,"휴식,숙소,게스트하우스,단체여행객,공공와이파이존,올레길,서귀포,도보여행",제주 올레 여행자센터는 제주 여행자들의 베이스캠프입니다.,33.2474043,126.5587322,,064-762-2177,
"추자민박,추자해수욕장,추자도,공용주차장,화장실,무료 WIFI,편의점,흡연구역,카드결제,현금결제,아주 어려움,없음,동반가능,유료제공,흡연구역제공,식음료장,세탁서비스,없음,운행",CNTS_200000000009119,대물민박,제주특별자치도 제주시 추자면 신양리 979-18,제주특별자치도 제주시 추자면 추자로 507,"추자민박,추자해수욕장,추자도,숙소,민박,농어촌민박,교통,별미음식,계절음식",신앙항뷰가 펼쳐진 곳,33.9407882,126.3238417,,010-8309-1537,
"민박,현금결제,화장실,무료 WIFI,흡연구역,아주 어려움",CNTS_000000000018539,연지민박,제주특별자치도 제주시 우도면 연평리 2120-2,제주특별자치도 제주시 우도면 상우목길 26,"민박,숙소,농어촌민박,우도,해수욕장,주차장,고향민박,텃밭집",땅콩 밭이 보이는 소박한 민박,33.5033191,126.9556775,,064-783-0031,
"휴식,숙소,펜션,휴양펜션,주차장,바비큐,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501044,제주별바람,제주특별자치도 제주시 한림읍 수원리 260-8,제주특별자치도 제주시 한림읍 한림해안로 500,"휴식,숙소,펜션,휴양펜션,주차장,바비큐,공공와이파이존",제주한림해안로에 위치한 곳으로 전객실 바다전망이 가능한 펜션형민박,33.434667,126.2725769,,064-796-0123,
"선상낚시,선상관광,스노쿨링,추자도,공용주차장,화장실,무료 WIFI,카드결제,현금결제,어려움,없음,동반가능,유료제공,전체금연,세탁서비스,바베큐장,인터넷,없음,운행",CNTS_200000000009093,내사랑추자야펜션민박,제주특별자치도 제주시 추자면 영흥리 8-5,제주특별자치도 제주시 추자면 추자로 104-2,"선상낚시,선상관광,스노쿨링,추자도,숙소,휴양펜션,펜션,민박,농어촌민박","추자 전망좋은 테라스 경치 스노쿨링 대여가능,선상 낚시, 선상관광, 올레투어 가능한 곳",33.9567036,126.2969646,,010-8838-8953,
"펜션,숙소,휴양펜션,주차장,중문관광단지,서귀포,체험,바비큐,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018221,아침의향기,제주특별자치도 서귀포시 색달동 1609-1,제주특별자치도 서귀포시 색달중앙로 122,"펜션,숙소,휴양펜션,주차장,중문관광단지,서귀포,체험,바비큐","제주에서 즐기는 고품격 서비스, 아침의 향기와 함께 하세요",33.265678,126.414409,,064-738-4679,
"여관,공용주차장,현금결제,카드결제,화장실,편의점,음료대,아주 어려움",CONT_000000000500834,도일모텔,제주특별자치도 제주시 연동 268-8,제주특별자치도 제주시 신광로 102,"여관,숙소,모텔,일반숙박,주차장,공공와이파이존,공항",제주공항에서 8분거리 신제주에 위치한 깨끗하고 아늑한 모텔,33.4830492,126.4896627,,064-742-6947,
"풀빌라,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000500960,아쿠아뷰티크,제주특별자치도 제주시 구좌읍 행원리 1515-4,제주특별자치도 제주시 구좌읍 해맞이해안로 526,"풀빌라,휴양펜션,펜션,자연경관,해변,독채,조식 포함,해수욕장,수영장,바비큐,공공와이파이존,가족,온돌방,단체여행객,수상레저",월정리 해변 바로 앞에 있는 미니 풀빌라,33.5291668,126.8538817,,070-4548-1014,
"민박,숙소,펜션,휴양펜션,조식 포함,공공와이파이존,교통,해수욕장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,단차없음,쉬움",CNTS_000000000022897,오조리비앤비,제주특별자치도 서귀포시 성산읍 오조리 117,제주특별자치도 서귀포시 성산읍 오조로 42,"민박,숙소,펜션,휴양펜션,조식 포함,공공와이파이존,교통,해수욕장,무장애관광",성산일출봉의 해돋이를 사랑하는 사람들과 함께 따뜻한 침실에서 볼 수 있는 오조리bnb,33.457916,126.91599,63639,--,
"민박,숙소,휴양펜션,펜션,자연경관,해변,어린이,해수욕장,어린이놀이방,공공와이파이존,온돌방,가족,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000018700,바닷가하우스펜션,제주특별자치도 서귀포시 대정읍 상모리 73,제주특별자치도 서귀포시 대정읍 형제해안로 254,"민박,숙소,휴양펜션,펜션,자연경관,해변,어린이,해수욕장,어린이놀이방,공공와이파이존,온돌방,가족",산방산과 송악산의 맑은 공기가 숨쉬는 마을,33.2122165,126.2921599,,064-794-0977,
"숙소,펜션,휴양펜션,힐링,해수욕장,주방기구,수영장,화장실,무료 WIFI",CNTS_000000000022133,비오하우스,제주특별자치도 제주시 구좌읍 월정리 567-1,제주특별자치도 제주시 구좌읍 월정3길 53-5,"숙소,펜션,휴양펜션,힐링,해수욕장,주방기구,수영장",비오하우스는 월정리해변 근처에 위치한 펜션입니다.,33.55612,126.79461,63358,010-5353-7872,
"호텔,숙소,공공와이파이존,수영장,주차장,힐링,4성급호텔,공용주차장,현금결제,카드결제,화장실",CNTS_000000000022330,골든튤립 제주 성산호텔,제주특별자치도 서귀포시 성산읍 고성리 329-1,제주특별자치도 서귀포시 성산읍 일출로 31,"호텔,숙소,공공와이파이존,수영장,주차장,힐링,4성급호텔",객실에서 유네스코 자연유산 성산일출봉을 볼 수 있는 호텔,33.4479486,126.9162124,,064-744-7500,
"휴식,숙소,휴양펜션,펜션,독채,단체여행객,바비큐,온돌방,수영장,공공와이파이존,자연경관,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019394,한라하이츠펜션,제주특별자치도 서귀포시 서호동 514,제주특별자치도 서귀포시 고근산로202번길 94,"휴식,숙소,휴양펜션,펜션,독채,단체여행객,바비큐,온돌방,수영장,공공와이파이존,자연경관",펜션 주위로 난 올레 7-1코스와 서귀포 바다를 한 눈에 즐길 수 있는 곳,33.2686727,126.5182746,,064-738-7898,
"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,어려움",CONT_000000000501129,허브인휴양펜션,제주특별자치도 제주시 한림읍 귀덕리 2731,제주특별자치도 제주시 한림읍 귀덕6길 92-17,"펜션,휴양펜션,민박,주차장,공공와이파이존,수영장,해안도로,바비큐,노래방,무장애관광",상쾌한 허브향을 즐길 수 있는 애월해안도로에 근접한 휴양펜션,33.4356437,126.2902931,,064-796-6604,
"휴식/치유,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501145,휴마루리조트,제주특별자치도 서귀포시 서홍동 1777-3,제주특별자치도 서귀포시 중산간동로8183번길 16,"휴식/치유,숙소,리조트,휴양콘도,공공와이파이존,자연경관,수영장,환전","문섬, 섶섬, 범섬이 보이는 바다와 한라산 조망이가능한 휴향형 휴마루리조트 입니다.",33.2612932,126.5427422,,064-762-1111,
숙소,CNTS_200000000014070,고산별곡,제주특별자치도 제주시 한경면 고산리 2197-2,제주특별자치도 제주시 한경면 고산로2길 6-3,"숙소,럭셔리트래블인제주","살다 보면 한 번쯤, 자발적 유배",33.3028612,126.1803361,,0507-0904-2380,
"게스트하우스,숙소,독채,음식,단체여행객,힐링쉼터,카드결제,화장실,무료 WIFI",CNTS_000000000022464,나무이야기게스트하우스 2호점,제주특별자치도 서귀포시 남원읍 남원리 153-3,제주특별자치도 서귀포시 남원읍 남한로21번길 9,"게스트하우스,숙소,독채,음식,단체여행객,힐링쉼터",나무이야기게스트하우스 2호점,33.28085,126.71661,63621,010-3389-4071,
