관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호
"마카롱,꼬끄후레이크,커피",CNTS_200000000008393,하비마카롱,제주특별자치도 제주시 이도이동 387-8,제주특별자치도 제주시 연삼로 449,"마카롱,꼬끄후레이크,커피,음식,아메리카노,바닐라라떼,카페라떼,녹차라떼,에스프레소,수제마카롱,카푸치노,플랫화이트,바닐라빈라떼,카라멜마끼아또,아인슈페너,아포가토,크림라떼,라떼,초코라떼,말차라떼,에이드,자몽에이드,레몬에이드,청포도에이드,아이스크림,생과일주스,차,레몬티,자몽티,녹차,홍차,허브티",연동에 위치한 마카롱 전문점. ,33.4981272,126.5383923,,010-7255-8256
"중화요리,중식당,짜장면,탕수육,흑돼지,냉면,두루치기,음식,중식,공용주차장,현금결제,카드결제,화장실,단독접근가능,단차없음,테이블 비치,쉬움",CNTS_000000000001035,중화요리 사해방,제주특별자치도 서귀포시 중문동 1891-7,제주특별자치도 서귀포시 천제연로 263,"중화요리,중식당,짜장면,탕수육,흑돼지,냉면,두루치기,음식,중식,무장애관광",제주의 아름다움을 배경으로 최고의 맛과 서비스를 지향해온 정통 중화요리 전문점,33.2515411,126.4327965,,064-738-7776
"카페, 밀크티, 홍차, 브런치",CNTS_200000000008036,원더먼트제주,제주특별자치도 제주시 조천읍 조천리 3225,제주특별자치도 제주시 조천읍 신북로 163,"카페,밀크티,홍차,브런치,음식,디저트,아메리카노,차,핸드드립커피,유자차,얼그레이,케이크,수제청","조천에 있는 홍차와 밀크티 전문 카페
",33.5355005,126.630971,,064)784-6528
"치킨,후라이드치킨,매운양념치킨,치맥,맥주",CNTS_000000000022702,알마니,제주특별자치도 제주시 구좌읍 세화리 1476-2,제주특별자치도 제주시 구좌읍 해녀박물관길 37,"치킨,후라이드치킨,매운양념치킨,치맥,맥주,음식,양념치킨,반반치킨,감자튀김,모둠튀김,왕새우튀김,먹태",조용한 세화마을 바다근처 치맥집,33.5242801,126.8619345,,064-782-2533
"백반,두루치기,정식,한식,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움,착한가격 업소",CONT_000000000501264,산내들식당,제주특별자치도 제주시 오라일동 2444-21,제주특별자치도 제주시 서광로4길 16,"백반,두루치기,정식,한식,음식,물회,한치물회,갈치국,몸국,향토음식",밑반찬 무한리필 서비스를 제공하는 착한가격업소,33.4986386,126.5140831,,064-702-0885
"해물짬뽕,짜장면,안심채움,맛있는제주만들기,음식,식당",CNTS_200000000013326,차이나마씸,제주특별자치도 서귀포시 보목동 718,제주특별자치도 서귀포시 칠십리로 474,"해물짬뽕,짜장면,안심채움,맛있는제주만들기,음식,식당,짬뽕,고추짬뽕,탕수육,멘보샤","차이나마씸은 2017년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 19호점 식당이다. 호텔신라 셰프들은 주변 상권 조사에서 선호도가 가장 높았던 해물짬뽕과 전복짜장, 멘보샤를 새로운 메뉴로 선정했고, 이 세 요리는 수년이 지난 지금까지 차이나마씸의 대표 메뉴로 확고한 자리매김을 하고 있다.",33.2412819,126.6014941,,064-732-7155
"전복파스타,파스타,커피,공용주차장,현금결제,카드결제,화장실,아주 어려움",CNTS_000000000021087,마레벤또,제주특별자치도 제주시 애월읍 애월리 2501-1,제주특별자치도 제주시 애월읍 애월로1길 10,"전복파스타,파스타,커피,음식,크림파스타,까르보나라,해산물파스타,해산물토마토파스타,알리오올리오파스타,오징어먹물파스타,그라탕",애월 바다 앞에서 파스타 한 접시,33.46261,126.31173,63043,010-2824-8452
"찻집,전통찻집,가래떡구이,대추차,우전차,보이차,쌍화탕,현금결제,카드결제,화장실,카드결제,현금결제,대추차, 우전차, 보이차, 쌍화탕 등,어린이 출입가능",CNTS_200000000007515,차마실,제주특별자치도 제주시 애월읍 하귀1리 137-8,제주특별자치도 제주시 애월읍 하귀동남1길 32-15,"찻집,전통찻집,가래떡구이,대추차,우전차,보이차,쌍화탕,음식,차,쌍화차,석류차,오미자차,연잎차,국화차,장미차,이슬차,모과차,유자차,생강차,매실차,커피,유과,약과,고구마맛탕,식혜,수정과,단팥죽,호박죽,팥빙수,토마토주스,키위주스,주스",제주시 애월읍에서 직접 만든 차와 다과를 판매하는 전통찻집,33.4831051,126.4150235,,064-712-7714
"수프,코스요리,생선요리,음식,공용주차장,아주 어려움",CNTS_000000000021020,아따블르,제주특별자치도 제주시 조천읍 북촌리 583-1,제주특별자치도 제주시 조천읍 북촌11길 15-16,"수프,코스요리,생선요리,음식,안심스테이크,양갈비스테이크,스테이크,커피,차",제주바다의 신선함이 더해진 부이야베스,33.54993,126.69455,63339,064-783-1048
"감자탕,육개장,한식,음식,대패삼겹살,뼈다귀감자탕,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움,착한가격 업소",CONT_000000000501340,인풍감자탕,제주특별자치도 제주시 만덕로 36,제주특별자치도 제주시 만덕로 36,"감자탕,육개장,한식,음식,대패삼겹살,뼈다귀감자탕","제주시 건입동에 위치한 감자탕,해장국을 전문으로 하는 착한가격업소",33.51346,126.53186,,064-758-8414
"갈치,고등어,해물탕,공용주차장,현금결제,카드결제,화장실,무료 WIFI,단독접근가능,단차없음,청각장애인 접근성,시각장애인 접근성,저상버스 접근 가능,쉬움",CNTS_000000000022802,올레삼다정,제주특별자치도 서귀포시 동홍동 646-2,제주특별자치도 서귀포시 태평로537번길 48,"갈치,고등어,해물탕,음식,갈치구이,제주갈치구이,제주갈치조림,고등어구이,고등어조림,생선조림,갈치조림,해물전,미역국,보말죽,성게미역국,무장애관광",서귀포에 위치한 헤신믈요리 전문점,33.25308,126.56996,63589,--
"순두부,두부전골",CNTS_200000000013323,제주콩순옥,제주특별자치도 서귀포시 대정읍 하모리 857-8,제주특별자치도 서귀포시 대정읍 신영로 129-2,"순두부,두부전골,안심채움,맛있는제주만들기,음식,식당,맑은순두부,해물뚝배기,바지락순두부,육개장순두부,비지찌개,두부찌개","제주콩순옥은 2016년 호텔신라의 레시피 전수와 리모델링 지원을 통해 재개장한 ‘맛있는 제주만들기’ 16호점 식당이다. 모슬포항에서 차로 3분 거리에 위치해 있고, 순두부찌개, 두부전골 등을 주요 메뉴로 한다.",33.2234062,126.2549022,,064-792-8585
"고로케,치즈고로케,민치카츠,음식,화장실",CNTS_000000000021486,고로케야,제주특별자치도 제주시 이도2동 317,제주특별자치도 제주시 가령골2길 13-20,"고로케,치즈고로케,민치카츠,음식,멘보샤,감자고로케,왕새우튀김,에이드,레몬에이드,자몽에이드,자몽차,청귤차,커피,라떼,핫초코",이탈리아에서 전수받은 수제 고로케 전문점,33.50456,126.53928,63214,070-8638-9427
"부모,커플,휴식/힐링,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,카드결제,현금결제,,영어,중국어,,단독접근가능,청각장애인 접근성,시각장애인 접근성,장애인 화장실,승강기,장애인 전용 주차장,쉬움,일식, 꼬치, 스시, 테판야끼,어린이 출입가능,요청시 제공,가능,있음",CNTS_200000000011378,유메야마,제주특별자치도 제주시 노형동 925,제주특별자치도 제주시 노연로 12,"부모,커플,휴식/힐링,음식,스시,초밥,우동,규동,장어덮밥,연어덮밥,식당,사시미,광어초밥,연어초밥,도미,오징어,가리비,참치초밥,장어초밥,도로초밥,랍스터,오겹살,야채구이,새우구이,안심,전복,양고기,한우등심,샐러드,새우튀김,나가사키짬뽕,소바,철판볶음밥,라면,오차즈케,캘리포니아롤,무장애관광",모던 일식 레스토랑 유메야마의 라이브 키친에서 일식 전문 셰프의 꼬치와 스시 요리를 즐기며 눈앞에서 펼쳐지는 화려한 테판야끼 퍼포먼스를 경험해보자.,33.4852786,126.4814609,63082,064-907-1234
"반려동물,반려동물동반,반려동물전용,예스펫존,반려동물동반입장,혼저옵서개,강아지,반려동물여행,아메리카노,카페라떼,크림라떼,청포도에이드,모히또,그린티,프라페,반려동물동반식당카페,화장실,무료 WIFI,어린이 출입가능,불가능",CNTS_200000000014197,백수당,제주특별자치도 제주시 구좌읍 월정리 408-1,제주특별자치도 제주시 구좌읍 월정1길 63,"반려동물,반려동물동반입장,아메리카노,카페라떼,크림라떼,청포도에이드,모히또,그린티,프라페,반려동물동반_식당카페,음식,카페",백수당은 ‘백수들의 천국’이라는 의미로 월정리에 위치하여 돌담과 한옥의 분위기가 제주다움을 보여준다. ,33.5565256,126.7936052,,0507-1371-9389
"카페,커피,미트파이,감귤파이,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000020990,유끼네,제주특별자치도 서귀포시 표선면 성읍리 1633-8,제주특별자치도 서귀포시 표선면 성읍정의현로136번길 5-8,"카페,커피,미트파이,감귤파이,음식,아메리카노,에이드,드립커피,단호박라떼,핫초코,유자차,라떼,차,유자에이드,청포도에이드,레몬에이드,요거트,허니브레드,핫도그",특별한 수제파이를 맛볼 수 있는 곳,33.393875,126.7976,63624,--
"피자,샐러드,에이드,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설,엘리베이터,단독접근가능,장애인 화장실,승강기,장애인 전용 주차장,쉬움",CNTS_000000000022839,번개피자,제주특별자치도 서귀포시 안덕면 서광리 산 39 항공우주박물관 2층,제주특별자치도 서귀포시 안덕면 녹차분재로 218 항공우주박물관 3층,"피자,샐러드,에이드,음식,고르곤졸라화덕피자,화덕피자,마르게리타화덕피자,페페로니햄피자,무장애관광",30여가지의 제주 로컾토핑을 골라 먹는 나만의 번개피자,33.30297,126.299065,63521,064-792-0913
"한치물회,칼국수,향토음식,보말",CNTS_000000000021186,보말이야기,제주특별자치도 제주시 한림읍 협재리 2984,제주특별자치도 제주시 한림읍 비양도길 14-3,"한치물회,칼국수,향토음식,보말,음식,보말칼국수,비빔밥,생선구이정식,생선조림,갈치,갈치구이,제주갈치구이,고등어구이,옥돔구이,성게미역국,오분작뚝배기,한치,보말죽,보리비빔밥,전,부침개,성게비빔밥,멍게비빔밥,해물짬뽕라면,물회,모듬물회,해삼물회,뿔소라,소라회,돌문어숙회,해삼회,회",옛모습을 잘 간직한 보말요리 전문음식점.,33.406,126.22901,63033,064-796-8422
"감귤스무디,카페,커피,음료,음식,바나나팬케이크,빵,디저트,바닐라라떼,아메리카노,케이크",CNTS_000000000022695,하빌리스,제주시 삼도1동 701-5,제주시 전농로 37,"감귤스무디,카페,커피,음료,음식,바나나팬케이크,빵,디저트,바닐라라떼,아메리카노,케이크,차,홍차,녹차,루이보스,라떼,초코라떼,말차라떼,생강라떼,에이드,자몽에이드,스무디,망고스무디,에스프레소,카페라떼,카페모카,카푸치노,플랫화이트,더치커피,핸드드립커피",전문가가 만든 커피의 향기에 젖다,33.504623,126.517235,,064-724-0037
"조림,객주리조림,우럭조림,한치회,꼼장어구이,가오리무침,쥐치,현금결제,카드결제,화장실,카드결제,현금결제,객주리조림,어린이 출입가능",CNTS_200000000007508,두루두루,제주특별자치도 제주시 연동 291-10,제주특별자치도 제주시 삼무로3길 14,"조림,객주리조림,우럭조림,한치회,꼼장어구이,가오리무침,쥐치,음식,생선조림,회,한치,우럭회,아나고구이,고등어구이,아나고탕,한치볶음",제주도민들에게 사랑 받는 객주리조림 식당,33.4904731,126.4945135,,064-744-9711
"니트인형,한라봉차,커피,디저트",CNTS_200000000008571,블루밍제이,제주특별자치도 제주시 한림읍 명월리 1729-1,제주특별자치도 제주시 한림읍 명월로2길 6,"니트인형,한라봉차,커피,디저트,음식,에스프레소,아메리카노,카페라떼,카푸치노,카라멜마끼아또,카페모카,초코라떼,녹차라떼,라떼,차,레몬차,청귤차,유자차,수제에이드,에이드,레몬에이드,유자에이드,요거트스무디,딸기요거트스무디,얼그레이,페퍼민트,캐모마일,샌드위치,아이스크림",제주 시골마을 명월리에 위치한 인형갤러리카페,33.3877056,126.2654377,,010-4206-9599
"흑돼지,두루치기,김치찌개,된장찌개,한식,음식,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CNTS_000000000019423,두가시영,제주특별자치도 서귀포시 표선면 하천리 153-1,제주특별자치도 서귀포시 표선면 하천달산로9번길 98,"흑돼지,두루치기,김치찌개,된장찌개,한식,음식,삼겹살,대패삼겹살,오리고기,오리로스,오리주물럭,백숙,오리백숙,오리한방백숙,동태찌개,우거지탕,해물된장찌개,정식,한정식,갈비김치전골,흑돼지두루치기",두가시는 제주도 사투리로 부부라는 뜻. 그만큼 화목하고 편안한 분위기에서 고객을 모시는 식당.,33.3374683,126.8423582,63627,064-787-2367
"북카페,카페,음료,커피,스무디,음식,아메리카노,카푸치노,에스프레소,바닐라라떼,카페라떼,녹차라떼,돌체라떼,딸기라떼,콜드브루,주스,과일주스",CNTS_000000000022740,달리북카페,제주시 한림읍 옹포리 126,제주시 한림읍 월계로 18 1층,"북카페,카페,음료,커피,스무디,음식,아메리카노,카푸치노,에스프레소,바닐라라떼,카페라떼,녹차라떼,돌체라떼,딸기라떼,콜드브루,주스,과일주스,연유라떼,라떼,차,얼그레이,녹차,매실차,밀크티,아이스티,에이드",달리에 들어서면 한 벽면만한 커다란 책장이 있다. 그래서 마치 도서관에 들어간 것 같다.,33.403286,126.25479,,064-796-6076
"갈치조림,해물뚝배기,생선구이,성게미역국,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,,,전복뚝배기,갈치조,어린이 출입가능,유아의자,유아용 수저 ,가능,없음",CNTS_200000000007118,어애랑,제주특별자치도 제주시 한림읍 협재리 1510 어애랑,제주특별자치도 제주시 한림읍 한림로 422 (협재리) 어애랑,"갈치조림,해물뚝배기,생선구이,성게미역국,음식,전복죽,전복,제주갈치구이,제주갈치조림,옥돔구이,고등어구이,전복조림,전복해물뚝배기,성게전복미역국,갈치구이","전복갈치조림/갈치조림 전문점. 활전복해물뚝배기,생선구이,성게미역국 등 제주를 느낄 수 있는 든든한 메뉴",33.3989779,126.2469258,934-695,064-796-9253
"커피,디저트,라떼,토스트,공용주차장,화장실",CNTS_200000000008033,낭만주의,제주특별자치도 제주시 내도동 543,제주특별자치도 제주시 내도1길 18-1,"커피,디저트,라떼,토스트,음식,아메리카노,샌드위치,바닐라라떼,카페라떼,녹차라떼,연유라떼,카페모카,토피넛라떼,초코라떼,그린티라떼,복숭아아이스티,아이스티,플레인요거트,딸기요거트,요거트,자몽에이드,에이드,차,허브티,대추차,유자차",알작지 토스트와 라떼가 맛있는 내도동 알작지 해변 앞 카페 ,33.4955266,126.4376599,,010-9911-3200
"해물뚝배기,생선구이,조림,활어회,횟집,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501379,천지연해물전복뚝배기,제주특별자치도 서귀포시 서홍동 678,제주특별자치도 서귀포시 남성중로 2-3,"해물뚝배기,생선구이,조림,활어회,횟집,음식,회,전복",천지연폭포 주차장에 위치한 천지연전복해물뚝배기,33.2639577,126.5507293,,064-732-2888
"두루치기,볶음밥,돼지고기",CNTS_200000000008375,용이식당,제주특별자치도 서귀포시 서귀동 297-9,제주특별자치도 서귀포시 천지로 40,"두루치기,볶음밥,돼지고기,음식","서귀포에 위치한 푸짐한 양의 두루치기  전문점.
",33.250978,126.5604194,,064-732-7892
"흑돼지,해물라면,김치찌개,된장찌개,현금결제,카드결제,화장실",CNTS_000000000021919,해변가든(켄싱턴리조트),제주특별자치도 서귀포시 강정동 2677,제주특별자치도 서귀포시 이어도로 684,"흑돼지,해물라면,김치찌개,된장찌개,음식,숙소,리조트,라면",저렴한 가격에 제주도 흑돼지를 즐길 수 있는 곳,33.233574,126.489006,63564,064-739-0271
"디저트,카페,음식,아메리카노,샌드위치,주스,스무디,공용주차장,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,카드결제,현금결제,Shinhwa reward point, Landing casino point, Samsung pay, Union pay, Alipay, Wechat pay,영어,중국어,단독접근가능,단차없음,시각장애인 접근성,장애인 화장실,승강기,장애인 전용 주차장,수동 휠체어 대여 가능",CNTS_200000000008131,더 코브,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 제주신화월드 메리어트 리조트관 GF,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 제주신화월드 메리어트 리조트관 GF,"디저트,카페,음식,아메리카노,샌드위치,주스,스무디,제주신화월드,카페라떼,라떼,차,잉글리쉬브렉퍼스트,카모마일,과일주스,사과주스,오렌지주스,자몽주스,요거트,쉐이크,클럽샌드위치,베이글,파니니,샐러드,무장애관광",제주신화월드 내에 위치한 합리적인 가격으로 즐기는 호텔 베이커리,33.3017501,126.3206458,,064-908-1247
"팥,팥빙수,디저트,카페,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",CONT_000000000501400,파시랑,제주특별자치도 서귀포시 서귀동 624-3,제주특별자치도 서귀포시 솔동산로 15 (서귀동),"팥,팥빙수,디저트,카페,음식,녹차팥빙수,청귤차",국내산 팥을 가마솥에 직접 삶아낸 팥빙수&단팥죽 전문점,33.243404,126.56422,,064-733-8125
"흑돼지,쌈밥정식,한식,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",CONT_000000000501210,돈돼지흑돼지,제주특별자치도 서귀포시 표선면 표선리 840,제주특별자치도 서귀포시 표선면 표선백사로 108,"흑돼지,쌈밥정식,한식,음식,오겹살,삼겹살,항정살,가브리살,흑돼지구이,돼지구이,김치찌개,된장찌개,냉면",표선해수욕장 근처에 위치한 흑돼지 전문점,33.3225332,126.8228665,,064-787-0008
"바지락,닭칼국수,김치손칼국수,칼국수,한식,음식,만두,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,착한가격 업소",CONT_000000000501150,1080칼국수,제주특별자치도 제주시 삼도일동 518-9,제주특별자치도 제주시 서광로13길 3,"바지락,닭칼국수,김치손칼국수,칼국수,한식,음식,만두",착한가격업소(농가와 직접거래하여 저렴한 가격에 음식 제공),33.5003337,126.517785,,064-759-1089
"카페,커피,케이크,공용주차장,화장실,무료 WIFI",CNTS_000000000022143,커피림,제주특별자치도 제주시 연동 1315,제주특별자치도 제주시 수목원길 27,"카페,커피,케이크,음식,팥빙수,아메리카노,카페라떼,과일주스,주스,카페모카,에스프레소,카푸치노,카라멜마끼아또,헤이즐넛라떼,바닐라라떼,카모마일,페퍼민트,얼그레이,레몬차,유자차,모과차,자몽차,생강차,라떼,차,아이스티,복숭아아이스티,레몬아이스티,에이드,자몽에이드,청포도에이드,생과일주스,블루베리주스,딸기주스,플레인요거트스무디,블루베리요거트스무디,망고요거트스무디,딸기요거트스무디,딸기스무디,요거트스무디,고구마라떼,녹차라떼,토피넛라떼,핫초코,비프브리또,샌드위치,티라미수,단팥죽,더치커피",커피림은 한라수목원 입구에 위치 한 카페입니다.,33.469433,126.4882,63141,064-749-3311
"김밥,고기만두,김치만두",CNTS_000000000022904,한라네 김밥,제주특별자치도 서귀포시 서귀동 301-3,제주특별자치도 서귀포시 일주동로 8697,"김밥,고기만두,김치만두,음식,김치김밥,참치김밥,더블치즈김밥,땡초김밥,멸치김밥,2022고메페스타,만두,찐빵,소고기김밥","서귀포 일호광장 근처 김밥집이다. 김밥, 만두, 찐빵 고루 맛있다.",33.252674,126.5594,63593, 064-763-7360
"샐러드,파스타,스테이크,맥주,피자",CNTS_000000000022386,루스트플레이스 노형점,제주특별자치도 제주시 노형동 2586-4,제주특별자치도 제주시 수덕로 79,"샐러드,파스타,스테이크,맥주,피자,음식,치킨샐러드,리코타치즈샐러드,고르곤졸라화덕피자,화덕피자,봉골레파스타,해물파스타,크림파스타,미트볼파스타,오일파스타,새우로제파스타,볶음밥,새우볶음밥,버섯샐러드,카프레제샐러드,까르보나라,빠네파스타,뚝배기파스타,스테이크덮밥,함박스테이크,고르곤졸라피자,돈까스,돈가스,해물볶음밥,치킨스테이크,등갈비,콤비네이션피자,페퍼로니피자,치즈돈까스,짬뽕파스타,라구파스타,알리오올리오파스타","돈까스, 파스타와 같은 양식을 합리적인 가격에 먹을 수 있는 레스토랑",33.48387,126.469925,63103,010-6677-7194
"간장게장,대하장,한식,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",CONT_000000000501337,이게밥도둑,제주특별자치도 제주시 연동 291-58,제주특별자치도 제주시 삼무로7길 23,"간장게장,대하장,한식,음식,오겹살,새우장",블루베리를비롯 6가지 과일로 숙성시킨 달콤한 간장게장 전문점,33.491617,126.4936071,,070-7553-2171
"정식,고등어구이,한식,음식,향토음식,현금결제,카드결제,화장실,편의점,음료대,아주 어려움,착한가격 업소",CONT_000000000501376,창훈이네,제주특별자치도 서귀포시 칠십리로 77,제주특별자치도 서귀포시 칠십리로 77,"정식,고등어구이,한식,음식,향토음식",국내산 태양초 고추로 만든 순두부와 매일 바뀌는 정식이 유명한 서귀포항 부두 근처에 위치한 식당,33.239925,126.56447,,064-762-9595
"파전,빈대떡,막걸리,굴전,육전,음식,꼬막무침,해물파전,부추전,계란말이,김치찌개,공용주차장,현금결제,카드결제,화장실",CNTS_000000000022206,미복빈대떡,제주시 연동 273-37,제주시 신대로16길 49,"파전,빈대떡,막걸리,굴전,육전,음식,꼬막무침,해물파전,부추전,계란말이,김치찌개,한식,해물녹두빈대떡,녹두빈대떡,부침개,고기파전,김치전,김치전골,오뎅탕",음식이 보약이다'라는 음식 이념을 추구하는 미복,33.486736,126.49128,63123,064-746-2002
"한식, 해물, 전복, 산방산,공용주차장,화장실,무료 WIFI,쉬움,가능",CNTS_200000000007609,숨비나리,제주특별자치도 서귀포시 안덕면 상창리 2090-1,제주특별자치도 서귀포시 안덕면 중산간서로1615번길 8,"한식,해물,전복,산방산,음식,전복뚝배기,갈치조림,제주갈치조림,제주갈치구이,갈치구이,삼계탕,물회,한치물회,전복물회,고등어구이,백숙,한치,옥돔구이,정식,고등어조림,옻닭백숙,해물전골,전복해물뚝배기,전복죽,성게미역국,전복삼계탕,시래기해장국,제육볶음,문어숙회,전복버터구이,딱새우",산방산과 바다 전망을 보며 맛보는 제주 음식,33.2822845,126.3483636,,064-792-3455
"카페,커피,빵",CNTS_000000000022713,앙뚜아네트 탑동점,제주특별자치도 제주시 건입동 1441,제주특별자치도 제주시 중앙로 13,"카페,커피,빵,음식,디저트,치즈케이크,아메리카노,카푸치노,바닐라라떼,카페라떼,녹차라떼,곡물라떼,돌체라떼,딸기라떼,코코넛라떼,에이드,주스,과일주스,케이크,베이커리,머핀,쿠키,허니브레드,바게트,에그타르트,크로아상,카페모카,카라멜마끼아또,콜드브루,아인슈페너,에스프레소,레몬에이드,오미자에이드,라떼,스무디,블루베리스무디,생과일주스,아이스티,말차라떼,초코라떼,밀크티",제주도에서 가장 크고 럭셔리한 베이커리카페,33.5168663,126.5256918,,064-752-5455
"식당,맛집,와인,럭셔리트래블인제주,현금결제,카드결제,화장실,카드결제,현금결제,한우 1++ 채끝 스테이크,가능",CNTS_200000000014083,바코,제주특별자치도 제주시 조천읍 선흘리 469-20,제주특별자치도 제주시 조천읍 선진길 83,"식당,와인,럭셔리트래블인제주,스테이크,돼지등심스테이크,등심스테이크,채끝등심스테이크,파스타,까르보나라,바게트,깜파뉴,음식",차분하고 우아한 바코,33.4585034,126.7108673,,064-782-6668
"소바, 냉모밀, 일식,공용주차장",CNTS_200000000007629,제주침시술소바,제주특별자치도 제주시 이도2동 1176-23,제주특별자치도 제주시 동광로 12,"소바,냉모밀,일식,음식,유부초밥,냉소바,우동,새우튀김,튀김소바,튀김우동,유부우동,고로케",직접 개발한 한국형 소바육수로 요리하는 소바 전문점,33.5010889,126.530548,,
"빵집,베이커리,카페,음식,빵,밤식빵,우유식빵,샌드위치,식당,현금결제,카드결제,무료 WIFI,카드결제,현금결제,,,어려움",CNTS_200000000009573,호도제과,제주특별자치도 서귀포시 법환동 251-3 호도제과,제주특별자치도 서귀포시 이어도로 923-1 호도제과,"빵집,베이커리,카페,음식,빵,밤식빵,우유식빵,샌드위치,식당,팥빵,소보루빵,바게트,크로아상,아메리카노,카페라떼,카푸치노,카페모카,블루베리레몬에이드,블루베리요거트스무디,라떼,에이드,스무디,요거트,닭가슴살샌드위치","서귀포 법환동에 위치한 호도제과
유기농 밀과 좋은 재료를 고집하고 유화제와 개량제를 일체 사용하지 않으며, 오로지 시간이 만들어주는 건강한 빵을 당일 생산 당일 판매한다.",33.2378827,126.513256,805-697,064-738-0010
"보말미역국,향토음식,음식,현금결제,카드결제,화장실,음료대,착한가격 업소",CONT_000000000501235,맛있는집,제주특별자치도 서귀포시 동문로 110 (동홍동),제주특별자치도 서귀포시 동문로 110 (동홍동),"보말미역국,향토음식,음식","착한가격업소(각재기국, 멜국, 보말국 등 향토음식 전문)",33.25437,126.56119,,064-763-3760
"카페,브런치,디저트,아보카도 에그베네딕트,현금결제,카드결제,화장실,카드결제,현금결제,커피,빵,베이컨 에그베네딕트, 아보카도 에그베네딕트,  해피준,어린이 출입가능",CNTS_200000000007230,수카사,제주특별자치도 제주시 구좌읍 행원리 701,제주특별자치도 제주시 구좌읍 행원로9길 11,"카페,브런치,디저트,아보카도 에그베네딕트,음식",깔끔한 외관에 브런치 메뉴로 많은 사람들에게 알려진 카페.,33.5340986,126.7954364,,064-782-0264
"카페,애플망고빙수,애플망고음료,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대",CNTS_000000000020252,먹쿠슬낭여행자카페,제주특별자치도 제주시 오라삼동 2319-8,제주특별자치도 제주시 오라로 24,"카페,애플망고빙수,애플망고음료,음식,애플망고스무디,파스타,과일주스,주스,샌드위치,해산물토마토파스타,바질페스토파스타,크림파스타,알리오올리오파스타,딱새우,덮밥,불고기덮밥,필라프,새우필라프,호박수프,바게트,토스트,요거트,아이스크림,녹차아이스크림,에스프레소,아메리카노,카페라떼,카라멜마끼아또,바닐라라떼,차,레몬차,유자차,라떼,망고라떼,그린티라떼,딸기라떼,흑당버블티,초코라떼,에이드,망고에이드,유자에이드,레몬에이드,망고주스,요거트스무디,스무디,딸기스무디,초코스무디,녹차스무디",애플망고가 유명한 여행자카페,33.4980411,126.5070556,,064-747-0360
"카페,커피,주스,망고,천혜향,공용주차장,아주 어려움",CNTS_000000000020972,마실디,제주특별자치도 서귀포시 서귀동 271-28,제주특별자치도 서귀포시 중정로73번길 16,"카페,커피,주스,망고,천혜향,음식,과일주스,아메리카노,망고주스",제주의 특산품 천혜향 주스 맛보며 쇼핑은 덤,33.24957,126.56415,63591,010-8237-2114
"카페,커피,음료,빙수",CNTS_000000000022521,커피로카,제주특별자치도 제주시 일도이동 367-17,제주특별자치도 제주시 고마로 86,"카페,커피,음료,빙수,음식,팥빙수,망고빙수,눈꽃빙수,에스프레소,에스프레소콘파냐,아메리카노,카페라떼,카푸치노,비엔나커피,바닐라라떼,연유라떼,카라멜마끼아또,아포가토,말차라떼,라떼,스무디,요거트,플레인요거트,딸기요거트,블루베리요거트,바나나요거트,모카프라푸치노,쿠앤크프라푸치노,녹차프라푸치노,에이드,레몬에이드,자몽에이드,아이스티,복숭아아이스티,주스,차,유자차,레몬차,생강차,레몬생강차,허브티,캐모마일,페퍼민트,얼그레이,녹차,홍차,초코라떼,녹차라떼,오곡라떼,고구마라떼,홍차라떼,딸기라떼,아이스크림,빵,브라우니,프레즐,케이크,치즈케이크,허니브레드",치즈빙수가 맛있는 제주시카페,33.5066094,126.5404817,,064-723-0800
