WRITER,CONTENT,TYPE,SCORE,CREATED_AT,OPEN_CLOSE_TIME,CATEGORY,STORE_NAME,STORE_ADDR,STORE_SCORE,HOMPAGE,ECT
레리,반말한다. 가격을 안붙여놓는다. 회는 냉동맛이 났다. 주스만 3개 사왔다.,카카오맵,2,20.11.11.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
권호경,최고의 제주도 시장 ok / 2021년 재방문.,카카오맵,5,20.11.07.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
천재님0550,,카카오맵,5,20.11.05.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
박민제,괜찮어요,카카오맵,3,20.11.04.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
JJ,"조리방식의 문제인지 음식에 비해 너무 오래 기다려야함. 거의 식당 한상차림보다 조리시간이 오래 걸리는데, 그렇게 특별히 손이 많이가는 음식도 아니고, 특별히 맛있지도 않음.<br/>흑돼지전복구이? 는 비계가 너무 많고, 전복이 모형보다 너무 작음. 돼지고기꼬치만 맛있게 먹었지만 그것도 너무 오래 걸림.",카카오맵,2,20.11.02.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
먹깨비,기다리고 맛은그닥~~<br/>혹시라도 자리제공하면서 술만파는곳은 가지마세요~<br/>술값4000원인거같았는데~5000원 받네요~,카카오맵,2,20.10.31.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
AR H,해떨어지면 한번은 가서<br/>20분씩 기다려 조미료 가든한<br/>뭔 듣보 음식 먹으며 <br/>허튼 돈 쓰고 올곳.,카카오맵,3,20.10.28.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
동하,,카카오맵,1,20.10.25.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
랑이,퍽퍽해져버린 만두파는 가게랑 오래되서 물이 줄줄 흐르는 샐러드 넣어주는 고로케파는 가게 하~ 정말 가격이 싼 것도 아니고 올레시장 갔다가 혹시나 하고 왔는데 전반적으로 맛도 더 없고 가격만 더 비싸네요,카카오맵,2,20.10.22.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
ssuan,중국산 땅콩을 국산 우도 햇땅콩으로 둔갑시켜 팝니다ㅜㅜ<br/>원산지 표시도 없고 국산이라고 말을 하지말지<br/>제주도가 좋아 해마다가는데 <br/>깨끗한  제주처럼 상인들도 정직하시길,카카오맵,1,20.10.06.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
조용도,제주 막걸리를 3천원에 파는걸보고 기분을 잡침<br/>관광객이 호구인지...<br/>제발 정신차립시다,카카오맵,1,20.10.05.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
이호재(Hully),회가 가성비가 좋아요. 회 포장 하고 술 사서 숙소에서 먹으면 최고,카카오맵,5,20.10.02.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
WON jO,다양한 식료품,카카오맵,4,20.10.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
먹는게남는거,야시장은 생각보다 작음.<br/>불쇼구경만 하기 좋은곳 <br/><br/>1. 전복계란김밥<br/>응??전복??? 햄밖에 안보임. 계란맛만 남. 이걸 왜줄섰지?? 이가격은 뭐지?? 만드는 사람도 알바인데?? 그냥 김만복드세요.<br/><br/>2. 딱새우회<br/>응??그냥새우랑 다르네 살만 쏙 빼먹는 재미. 초고추장에 촥 찍어먹으면 술안주로 딱좋네<br/><br/>3. 초면<br/>덩치좋은 남자분 둘이서 불쇼하면서 같이만드는 돼지고기볶음면. 한번에 2개씩만 만들어서 대기시간 좀 걸림. 돼지고기는 질기지만 숙주랑 면은 맛있네 ㅎㅎ<br/><br/>4. 땅콩아이스크림<br/>우도땅콩은 들어갔는데 아이스크림은 영...그냥 소프트아이스크림 맛인데?<br/><br/>가격대비 퀄리티 너무낮음...맛도없고 안가야지..,카카오맵,2,20.09.17.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
Min,"가서 총 세개 사먹음<br/><br/>1. 오징어 안에 돼지고기 넣고 구운 꼬치<br/> 돼지고기 엄청 퍽퍽함 참치통조림 씹는 느낌 숙소 와서 위에 치즈 올려놓고 렌지에 돌려서 겨우 먹음, 차라리 속재료를 칼집 넣은 통돼지고기로 하면 좋을듯<br/><br/>2. 전복김밥<br/> 참기름밥에 계란이랑 김이랑 같이 먹으면 나는 맛 전복맛 안남<br/><br/>3. 오겹살튀김<br/> 전복은 맛있음 고기는 덜익혀져서 물컹함<br/><br/>가격들은 비쌈<br/><br/>재구매 의사는 하나도 없음",카카오맵,2,20.09.14.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
얌얌,야시장에 갔었는데 사람도 정말 많고 메뉴도 다양해서 고르기 힘들 정도였어요<br/>어지간한건 다 줄 길게 서있어서 처음엔 무슨줄인지도 헷갈릴 정도였네요<br/>전복김밥집이 여러군데나 있고 줄도 길길래 먹어봤는데 늦게먹어서 식어서 그런지 전복향도 모르겠고 별로였어요<br/>그리고 줄설때 어떤줄이 오래걸리는지 보고 줄서는거 추천드려요<br/>그나마 짧아보였던줄에 한명 기다리게 했는데 다른 음식 다 사오고도 30분은 더 기다려서 받느라 다른 음식 다 식었어요ㅜㅜ<br/>딱새우 20마리에 만원인가? 암튼 저렴하게 사서 맛있게 먹었고<br/>무슨 수제맥주집 있었는데 비싸서 고민했는데 기대이상으로 맛있었어요,카카오맵,4,20.08.29.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
강명지,,카카오맵,5,20.08.20.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
희블리,첫날과 둘째늘 다 갔어요 ㅋㅋ<br/>흑돼지 고로케도 먹고 천혜향 쥬스도 사마시고 <br/>먹거리들 이것 저것 사고 두럦날도 전복버터밥이랑 땅콩아이스크림 먹었네요 ㅎㅎ<br/>동문시장 4번 출구로 가시면 이스트라라고 기념품/먹거리 판매하는 가게인데 이모님께서 친절하 설명해주신 기억이 있네용 첫날 둘째날 8만원어치 샀네요 ㅋ,카카오맵,5,20.08.19.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
매생이,동문시장 3번 출입구 앞인가<br/>과일이랑 이것저것 많이 파는 ‘감**원’이라는 곳 관광객 상대로 눈탱이 치네요..;;;보통 결제하고 영수증 확인 잘 안하잖아요? 결제를 3번이나 잘못하셨어요(돈 더 붙여서요) 전화해서 돌려받긴 했는데 확인 안했으면 그냥 갔겠죠..여긴 너무 의도가 다분해보여서 평 남깁니다. 저같은 피해자가 더 없길 바랍니다. 공항 가기 전 마지막 코스로 왔는데 제주도에 대한 인상만 안좋아져서 가네요,카카오맵,1,20.08.10.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
HGOS,기념품이 괜찮은거 많아요ㅎㅎ<br/>글케 비싸지도 않고 예뻐요 추천~,카카오맵,5,20.08.09.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
♡,야시장 개노맛,카카오맵,3,20.08.05.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
얌,주차하기 어려움<br/>도민들은 여기 절대 안갑니다 야시장은 더더욱 ㅋㅋ<br/>회 포장 정도는 무난한듯,카카오맵,2,20.07.29.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
뚬니,호객 너무 심각함.. 기분 다 잡칠정도<br/>제주도가면 다신 안갈래요<br/><br/>간신히 횟집 한군데 가긴했는데 맛은 있었으나 그닥 청결한느낌은 아님,카카오맵,1,20.07.25.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
조은영,"별 하나도 아깝다.<br/>제주시에서는 주자장도 할인해주고 재래시장 경기살리려 노력하는거 같은데, 상인들은 장사속이 징그러울 정도다.<br/>시장하면  넉넉한 인심을 느끼려 찾는데, 오히려 완전 바가지 느낌이었다. <br/>옥돔은 제주농수산이란 가게에서 진열된 사이즈들 중에서  가격보고 주문했는데, 가게뒤에서 냉동된거 포장해줘 집에와 풀어보니  훨씬 작은 사이즈였다. 아직도 이렇게 장사하다니 아름다운 제주도의 풍광이 슬프다. 포장 수레에서  파는 한치튀김도  양도 너무 적고 맛도 너무 없다. <br/>수산집에서 파는 포장된 회들도  열어보면 양 너무 적다. 현지인가는 횟집 찾아가는게  답인듯하다.<br/>동문시장은 관광객 상대로한 바가지 시장이다. 왜 사람들이 해외로 휴가 가는지 실감했다.",카카오맵,1,20.07.24.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
롤리팝,시끄럽고 호객심하고 비싸고 맛도별로.. 헛배불렀음,카카오맵,1,20.07.21.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
.,,카카오맵,1,20.07.21.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
HS,,카카오맵,5,20.07.19.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
skimw,음식 하나 둘 사먹으면 지갑 살살 녹아요<br/>특히 회는 돈주고 사먹는 순간 호9됩니다,카카오맵,1,20.07.18.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
맛집감별사,작년에는 괜찮았는데 올해 와보니 별로네요... 지저분하고 사람 너무 많고 음식도 가격에 비해 별로입니다.,카카오맵,1,20.07.12.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
유이나2104,동문시장에서 절대로. 절대로 옥돔사지 마세요~<br/>갈치 만원에 옥돔5만원주고 포장했는데~~<br/>완전 썩고 개비린네가 작살이고 생선은 전부 버렸어요<br/>진짜 선물용으로 구매해서 보낼꺼면 신중하게 생각해보세요~~!<br/>절대 비추입니다,카카오맵,1,20.07.09.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
1,,카카오맵,1,20.07.08.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
후츄,일단너무비싸요 진짜너무비쌈 여기서 한두개사먹으면 밥값보다더나오는데 그냥 근처 고급식당가서 먹으세요 혼자 2만원넘게썼는데 먹은거보면 별거없음,카카오맵,1,20.07.07.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
K-will,기분 제대로 잡치고 갑니다. 여기 왜이렇게 가게 주인들이 혼잣말이 많나요? ㅎㅎ 손님이 기분 나쁜 말은 속으로만 하시지 ㅋㅋ 다시는 안 오려구요. 괜히 물건 사주고 기분 잡치고 ㅋㅋ 카드 주니까 가격은 왜 달라지는지? 다들 물건 사시려면 그냥 이마트 가세요 ㅎ 오시면 기분 ○○○ 더러워짐,카카오맵,1,20.07.04.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
무,떡볶기+김밥+순대 헐  맛없어요,카카오맵,2,20.06.28.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
귤탱,복잡하게 이어진 골목.<br/>호떡골목은 어딘지 찾지도 못했다 ㅎㅎ<br/>수산. 기념품. 과일 등 다양한걸 판다.<br/>다른건 몰라도 기념품(타르트. 과자류)는 여기가 제일 싸다. 원플원 만원,카카오맵,4,20.06.17.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
먹방일기,택시타고 동문시장 8번게이트로 가달라고 하시면 바로갈것 같네요<br/><br/>금요일날 갔는데 사람 바글바글 했어요 <br/><br/>마스크는 다들 끼시고<br/><br/>전복버터밥 한번 줄 길길래 먹어봤는데 맛은 그닥..<br/>만드는시간이 오래걸리더라구요 그래서 줄이 긴거랍니다.,카카오맵,4,20.05.23.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
류다영,야시장은 갈만한데 좁고 호객 오져요,카카오맵,2,20.05.22.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
어움버,먹거리 개아늠<br/><br/>고양이 이쁨<br/><br/>초코릿가게 고양이 ㅎㅎㅎ여기서 선물사고 택배수령으로 양손가볍게 숙소오면서 마누라한태 고양이 키우고싶다니....<br/><br/>이미.집에 개가있어서 안된다하심<br/>ㅠ ㅠ  <br/>참고로 결혼 2주차라 둘이사는데.........내가  개 ?,카카오맵,3,20.05.06.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
ㄲ,특별한 것은 없어,카카오맵,3,20.05.01.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
52907,야시장 음식 가격은 좀 바가지,카카오맵,2,20.03.03.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
달빛,도민은 안가는곳<br/>전부 바가지 뿐인 이름만 시장이지 관광객대상으로 어떻게 더 비싸게 팔아볼까하는 상점들이 모인곳,카카오맵,1,20.02.09.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
은히,"주말은 딱새우 1팩에 만원인데 평일이나 사람 없을땐 1팩에 6~7천원까지 떨어지니 잘 흥정하시길 추천드려요~~ 저 사진에 구성이 12,000원. 월요일에 방문했었어요~ 가급적 입구 말고 족발파는 정육점으로 꺾어서 들어가면 거기도 수산물 있는데 그쪽이 딱새우가 더크고 싸요!",카카오맵,5,20.02.04.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
이정미,구경거리가 많지만 너무 정신없음 그래서 별 2개 뺌,카카오맵,3,20.01.30.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
유미숙,새우김밥  넘  맛없어요  짜고  새우맛이 전혀 안나요<br/>금액이 7000원이나  하는데~~<br/>떡복이도  그저~~~,카카오맵,1,20.01.26.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
정지훈,,카카오맵,5,20.01.20.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
자강두천,야시장이라고 하기엔 규모가 넘작음..,카카오맵,3,20.01.17.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
소주안주,구경하기 좋아요 <br/><br/>회는 제주항 쪽에 서부두수산물시장에서 사는게 더 싸고 싱싱합니다,카카오맵,3,20.01.12.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
JJJ,,카카오맵,3,20.01.11.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
하늘,평일에 가도 사람 ○○○ 많고 붐빔. 괜찮은 먹거리 찾기 힘들고 괜찮은 곳은 줄이 엄청 길다. 시간 넉넉하면 가볼만도,카카오맵,3,19.12.28.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
신경희,낙지젓갈사러갔다가 욕먹음. 맛보고나서 만원어치달라고 하니 통에꺼 주시더라구요. 비닐에담아달랬더니 눈짐작으로담고 그람도 안재보고 그냥 주시더군요<br/>저울질 해야는거아니냐했더니 안으로쭉 들어가서 따라갔더니  500그람이어야는데 420그람이었다. 눈짐작으로 주면서 쬐금주면 되냐고 했더니 <br/>봉지풀고 쬐금더담으며 생긴건그리안생겼는데 젊은사람이 그리 살지말라고까지 하심. 아침이라 좋게넘어가려 그냥 집으로왔는데 너무 화가남. 젊은사람들은 재래시장가지말아야겐요 역시 마트가 편해요,카카오맵,1,19.12.26.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
지니,"회가 안신선해요,,,육지에서 먹은 회가 더 맛있,,<br/>야시장 푸드트럭 전복김밥 그냥 그렇고<br/>중국식만두 ? 맛있어요!!!!!!!",카카오맵,2,19.11.26.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
BAE YE,"횟집, 귤집 호객행위 너무 과해요 ㅠ<br/>(한집한집 그냥 지나칠수가 없음)<br/>자꾸 먹어봐라 맛있다고 강요하시고 <br/>구경 좀 하려하면 다짜고짜 포장할거냐 <br/>먹고갈거냐 하시고.. 많이 불편했네요..",카카오맵,1,19.11.25.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
...,회가 너무 안 신선해요...<br/>냄새가 났어요 너무...<br/>주차장도 불편하고,카카오맵,1,19.11.25.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
정우철,3박4일 에어카텔+자유여행 상품으로 제주도에 가족여행을 온지도 6차례 입니다. 올 때마다  마지막날 동문시장에 들려 감귤 택배도 부치고 이번에는 오리지널 제주 옥돔과 갈치를 샀습니다.  그런데 동문시장 공용 주차장은 갈 때 마다 짜증이 납니다. 주차요금을 받으면서 안내원도 없고 주차장 통로는 협소해 입차와 출차가 엉기면....... 어떤 돌머리가 이렇게 설계를 했을까? 제주시 공무원들은 ? 참 한심스러운 주차장입니다. 또한 작년인지 재작년인지 확실하지는 않지만 맛있는 옥돔이라고 해 사가지고 서울와서 구웠는데 정말 더럽게 맛이 없더라구요. 이 후 몇 일 지나 우연히 방송에서 중국산 오둑어를 제주도에서는 옥돔으로 판다는 것을 알고 저절로 XX가 나오더라구요. 지난 11월6일 오후 동문 시장에  갔을 때 예전과 같이 옥둑어를 맛있는 옥돔이라고 하길래--- 맛대가리도 없고 이게 중국 옥둑어지 제주 옥돔이냐고 하니까 짹소리도 못하더라구요. 여러분 절대 속지 마시고 불친절한 상점들은 여기다 올려 많은 분들이 알게하여 망한다는 것을 알고 정신을 차리야 정직한 세상이 만들지고 국내 외국 관광객들이  안심하고 구입을 하지 않을까요?,카카오맵,1,19.11.17.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
고경남,시장이 아녜요!  갑질상인 집합소,카카오맵,1,19.11.05.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
Miscellaneous,"겨울이 아닌 이상에야, 주말은 피하세요. 사람이 너무 많아요. 질좋은 갈치에 기념품에 즐거운 쇼핑이었습니다. 아, 그리고 한라봉쥬스류가 올레시장(3000원대)이나 다른 카페(기본5000원)보다 동문시장(2000~2500원)이 제일 저렴하니까 여기서 사드세요 많이.",카카오맵,4,19.10.31.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
송송,야시장이 열릴때 갔는데 돈복이 맛있더라구요. 매콤돼지랑 전복버터밥 그리고 미나리 다들 드셔보세요!!,카카오맵,5,19.10.20.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
냥냥이,만원짜리 라고 해서 초콜릿 삿는데 삼만원 긁어두고 왜 삼만원이냐고 하닌까 맞다는 식으로 우겨서 다른곳 가격도 확인해봤는데 만원 맞아서 환불해달라고 하닌까 얼버무리다 환불해 줬네요. 영수증 가격 확인 잘 하세요.,카카오맵,1,19.10.03.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
카맵하이에나,구경할것도 많고 재밌었음 제주도 특산품? 기념품? 많이 팔던데 한라봉 타르트 보다는 감귤 타르트가 맛잇음다^^.. <br/>그리고 딱새우회 한접시 만원 삿는데 신선하고 맛있엇음! <br/>다만 먹을곳이 마땅치 않다는점..?<br/>저녁에 가면 야시장같이 푸드트럭도 입구쪽에 많이 있는듯한데 오전에 가서 못먹어봄,카카오맵,4,19.09.28.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
태훈,이게 2만원 어치<br/>다른 곳도 마찬가지라고 큰소리 치는 사장<br/>회 떠달라하면 양아치짓 하는 곳.<br/>3만원 줘야 1kg 좀 넘게 준다네요ㅋ<br/>관광객을 호구로 보는 놈들. 떠달라하지마세요 사기당한다,카카오맵,1,19.09.28.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
amnok,회 값? 쏘쏘 샘플로 랩싸져 있는거 보고 이대로 달라고 주문함 광어 참돔 어쩌고 엿음<br/>회 떠줄테니 십분 뒤 오라함 한바퀴 둘러보고 조금 일찍 도착해서 횟감 받으려고 봣더니 봉투 안이 안 보이게 봉투를 한번 묶어서 주길래 수상해서 풀어서 안에 봣더니 아줌마가 눈치 슬슬 봄 친구들 저멀리 걸어가고 있고 에이 설마 시장에서 횟감두고 장난치겟나 싶어서 그냥 왓음 <br/>숙소와서 열어보니 회가 물기가 하나도 없고 푸석한게 딱 봐도 떠놓은지 좀 됨 새로 떠 준다고 구라치고 디피되잇는거 준듯ㅠ 그래서 피자랑 치킨 시켯습니다ㅋㅎ<br/>재래시장 상인들 정신 차리셔야죠 어느 동네 어느 지역가나 다 관광객 바가지 씌워먹으려고나 하고 즈응말~<br/>귤은 맛잇엇어용~ 19.09.26 기준입니당,카카오맵,1,19.09.26.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
이혁,"솔직후기 작성합니다<br/>어느지역에 여행을 가면 꼭 들리는곳이 재래시장인데 전 별로였어요<br/>회를 썰어서 판매하는것은 저렴하고요<br/>나머진 오히려 마트를 추천합니다<br/>호떡과 빙떡은 가성비 최고에요~!!<br/>그외 유명하다는 가게들 3일동안 다니며 떡볶이집들 ,고로께집, 야시장등 다음에 또 사먹으라면....!!  한번이면 족하죠~!<br/><br/>참 그리고 장사하시는 사장님들과 직원분들은 친절해지면 안될까요?",카카오맵,1,19.09.18.,08:00 ~ 21:00,분류: 시장,제주동문재래시장,"제주특별자치도 제주시
                관덕로14길 20
                 (우)63192",3.1점,jejudongmun.modoo.at,"['wifi', 'parking']"
