관련 태그 전체,콘텐츠 ID,콘텐츠명,주소,도로명주소,태그,간단소개,위도,경도,우편번호,전화번호,썸네일 이미지경로,page
"휴식/힐링,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,,,쉬움,농수산,기념품/소품,수제초콜릿,가능",CNTS_200000000011593,미카의달콤한작업실,제주특별자치도 서귀포시 안덕면 사계리 2294-27,제주특별자치도 서귀포시 안덕면 사계남로84번길 4,"휴식/힐링,쇼핑,관광기념품,상점/상가"," 제주도의 자연을 달콤하게 제작, 판매하는  제주여행선물로 인기있는 수제초콜릿가게",33.2267425,126.2990068,63528,010-2723-0508,,https://place.map.kakao.com/1246473760#comment
"와이너리,양조장,와인,쇼핑,관광기념품,상점/상가,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,카드결제,현금결제,,,허니와인,가능",CNTS_200000000008160,제주허니와인,제주특별자치도 제주시 애월읍 하가리 257-6 ,제주특별자치도 제주시 애월읍 용하길 42 (하가리) ,"와이너리,양조장,와인,쇼핑,관광기념품,상점/상가",우리나라 유일한 과일벌꿀주 제주허니와인 와이너리,33.443341,126.3674866,915-695,010-9818-7933,,https://place.map.kakao.com/495943751#comment
"강연욱 산진관,사진,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,탐나는전,영어,,쉬움,",CNTS_200000000014066,강연욱 사진관,제주특별자치도 제주시 애월읍 하가리 1415 강연욱 사진관,제주특별자치도 제주시 애월읍 하가로 146-9 (하가리) 강연욱 사진관,"강연욱 산진관,사진",애월에 위치한 작은 아날로그 필름 사진관이다,,,63036,010-8735-4006,,https://place.map.kakao.com/1183523812#comment
"기념품,공방,원데이클래스,라탄,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,카드결제,현금결제,,,기념품/소품,,가능",CNTS_200000000013992,안온점,제주특별자치도 제주시 한림읍 옹포리 608 2층,제주특별자치도 제주시 한림읍 한림로 492 (옹포리) 2층,"기념품,공방,원데이클래스,라탄",빈티지 인테리어 소품 판매와 라탄공방 원데이 클래스 및 정규 클래스가 가능한 곳,33.4031019,126.2522613,63012,010-6657-7444,,https://place.map.kakao.com/737606520#comment
"커플,친구,휴식/힐링,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,카드결제,현금결제,,jejugeneralstore comein,농수산,기념품/소품,팩/문구,썬캐쳐,먹거리 기타등등,가능",CNTS_200000000011137,펠롱잡화점,제주특별자치도 제주시 구좌읍 평대리 3346-12,제주특별자치도 제주시 구좌읍 세평항로 45,"커플,친구,휴식/힐링,쇼핑,관광기념품,상점/상가","제주도소품샵중에 최신소품샵 제주기념품을 대표하는 모든것들,펠롱에서만드는 핸드메이드 소품들이 가득한 이 곳",33.5273357,126.8550887,-,010-6597-3669,,https://place.map.kakao.com/455349964#comment
"쇼핑,무료 WIFI,공용주차장,카드결제,현금결제",CNTS_200000000012453,소소한담,제주특별자치도 제주시 애월읍 신엄리 1280-16,제주특별자치도 제주시 애월읍 일주서로 6691,"쇼핑,관광기념품,상점/상가","제주 기념품, 먹거리, 전통주, 와인, 각종 제주 소품, 커피와인 만들기 등의 구매 및 체험이 가능",33.4714955,126.3670126,,010-5090-0417,,https://place.map.kakao.com/233162302#comment
"과일청, 수제청, 유기농, 안덕, 기념품,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,,영어,,브랜드,수제청/과즐,가능",CNTS_200000000010377,나무와열매 감귤체험,제주특별자치도 서귀포시 안덕면 덕수리 2180,제주특별자치도 서귀포시 안덕면 덕수동로25번길 42-8,"과일청,수제청,유기농,안덕,기념품,쇼핑,관광기념품,상점/상가",제주과일을 주재료로 안심하고 드실수 있는 건강하고 맛있는 과일청을 저온숙성 방식으로 만들고 판매하고 있습니다,33.2582943,126.3082433,-,064-792-2180,,정보없음
"쇼핑,연필,기념품,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,카드결제,현금결제,계좌이체 가능,,단독접근가능,쉬움,팩/문구,연필책,필사,컬러북,가능",CNTS_200000000007913,연필가게,제주특별자치도 서귀포시 남원읍 태흥리 541-1 ,"제주특별자치도 서귀포시 남원읍 태위로 929 (태흥리, 뽀글이미용실) ","쇼핑,연필,기념품,관광기념품,상점/상가,무장애관광",세계 각국의 연필과 문구를 탐험하는 곳,33.281671,126.7344787,945-699,010-6496-4929,,https://place.map.kakao.com/1974620820#comment
"쇼핑,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,탐나는전,,기념품/소품,팩/문구,브랜드,엽서, 메모지, 스티커, 손거울, 머그컵, 코스터, 캔버스포스터, 패브릭포스터, 아트프린트,가능",CNTS_200000000013588,손끝에서,제주특별자치도 제주시 구좌읍 세화리 1521-13,제주특별자치도 제주시 구좌읍 구좌로 33-11,"쇼핑,문화관광,기념품","소속 아티스트의 사진작품을 활용하여 아트상품을 제작, 사진을 구매하는 경험을 선물한다",33.5239835,126.8548993,63361,010-7669-8515,,https://place.map.kakao.com/420157757#comment
"전통주,양조장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,경보 및 피난시설,카드결제,현금결제,,영어,중국어,일본어,,단독접근가능,단차없음,저상버스 접근 가능,장애인 전용 주차장,쉬움,농수산,기념품/소품,전통주,가능",CNTS_200000000014006,왕지케양조장,제주특별자치도 제주시 한경면 고산리 2885-1 1층,제주특별자치도 제주시 한경면 고산로2길 22-13 (고산리) 1층,"전통주,양조장,무장애관광",제주도 한경면 고산리에 위치한 지역특산주 제조업체,33.302557,126.1825261,63008,064-773-0988,,https://place.map.kakao.com/1177843047#comment
"소품샵,고양이,고양이소품,고양이용품,쇼핑,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,카카오페이, 계좌이체,영어,일본어,einbissen Deutsch,단차없음,쉬움,기념품/소품,팩/문구,브랜드,고양이작가소품, 고양이가 들어간 모든 제품,가능",CNTS_200000000009456,게른,제주특별자치도 서귀포시 서귀동 323-19 ,제주특별자치도 서귀포시 중정로 1 ,"소품샵,쇼핑,관광기념품,상점/상가,무장애관광",고양이에 대한 모든 것을 취급하는 고양이잡화점,33.2476943,126.5566855,-,010-4695-7731,,https://place.map.kakao.com/580462714#comment
"쇼핑, 천연염색, 중문,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,카드결제,현금결제,,영어,중국어,일본어,,단독접근가능,단차없음,청각장애인 접근성,시각장애인 접근성,저상버스 접근 가능,장애인 전용 리프트,장애인 화장실,승강기,장애인 전용 주차장,수동 휠체어 대여 가능,쉬움,기념품/소품,브랜드,천연염색 스카프, 의류, 가방, 모자, 악세사리,가능",CNTS_200000000010434,탐라동주,제주특별자치도 서귀포시 중문동 2700,제주특별자치도 서귀포시 중문관광로 224,"쇼핑,천연염색,중문,관광기념품,상점/상가,무장애관광",핸드메이드로 만든 모던한 천연염색 작품 매장,33.2412921,126.424492,-,064-738-1337,,정보없음
"부모,커플,친구,아이,쇼핑,사진인화,기념품,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,,영어,,단독접근가능,단차없음,장애인 화장실,쉬움,기념품/소품,,가능",CNTS_200000000009006,구름두리,제주특별자치도 서귀포시 서귀동 276-19 1층 구름두리,제주특별자치도 서귀포시 중정로61번길 20 1층 구름두리,"부모,커플,친구,아이,쇼핑,사진인화,기념품,관광기념품,상점/상가,무장애관광",나무액자에 사진을 인쇄해주는 곳,33.2495494,126.5631147,842-697,010-6782-8270,,https://place.map.kakao.com/12354187#comment
"쇼핑,서점,기념품",CNTS_000000000021057,만춘서점,제주특별자치도 제주시 조천읍 함덕리 272-35,제주특별자치도 제주시 조천읍 함덕로 9,"쇼핑,서점,기념품,관광기념품,상점/상가","좋은 책과 좋은 음악이 있는, 작지만 특별한 책방",33.54071,126.67343,63333,064-784-6137,,https://place.map.kakao.com/1859768130#comment
기념품,CNTS_000000000022474,갈중이,제주특별자치도 서귀포시 안덕면 사계리 113,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-61,"기념품,쇼핑,관광기념품,상점/상가",제주전통 갈옷 전문 의류매장,33.235085,126.31367,63528,--,,https://place.map.kakao.com/19100061#comment
"천혜향, 한라봉, 레드향,특산품,현금결제,카드결제,아주 어려움",CNTS_000000000020147,현승이네농장,제주특별자치도 제주시 애월읍 신엄리 16,제주특별자치도 제주시 애월읍 신엄리 16,"천혜향,한라봉,레드향,특산품,쇼핑,관광기념품,상점/상가",애월 더럭분교 인근 위치한 귤농장.,33.463615,126.37887,,010-9289-1285,,https://place.map.kakao.com/662777136#comment
"전통시장,공용주차장,현금결제,카드결제,화장실,착한가격 업소",CONT_000000000500733,서문공설시장,제주특별자치도 제주시 용담1동 135-9,제주특별자치도 제주시 서문로4길 13-2,"전통시장,쇼핑,상점/상가,관광기념품","제주의 마장동이라 불리우는 정육, 축산 전문 상설시장",33.511383,126.517975,63154,064-758-8387,,https://place.map.kakao.com/18526097#comment
"쇼핑,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,카드결제,현금결제,,,브랜드,,가능",CNTS_200000000011557,보미다,"제주특별자치도 서귀포시 법환동 326-4, 2층 201호","제주특별자치도 서귀포시 이어도로 936-1, 2층 201호","쇼핑,관광기념품,상점/상가","보미다(bomida) : ‘낡다,녹슬다’의 제주방언 제주 서귀포에 있는 빈티지 토탈 의류전문샵",33.2384705,126.5143114,63573,010-5008-0064,,https://place.map.kakao.com/1871956496#comment
"책, 서점,책방",CNTS_200000000007633,북타임,제주특별자치도 서귀포시 서홍동 397-130 2층,제주특별자치도 서귀포시 중앙로 109 2층,"책,서점,책방,쇼핑,관광기념품,상점/상가",서귀포 중앙로터리 근처에 있는 있는 책방,33.2811103,126.540806,,064-763-5511,,https://place.map.kakao.com/26917048#comment
"특산품,착한가격 업소",CONT_000000000500740,제일토산품,제주특별자치도 제주시 관덕로24,제주특별자치도 제주시 관덕로 22-1,"특산품,쇼핑,관광기념품,상점/상가",관덕정과 지하상가 인근에 위치한 관광특산품점,33.512978,126.52185,63168,064-753-7319,,https://place.map.kakao.com/23109108#comment
"쇼핑,소품,그릇,주방용품,공용주차장",CNTS_200000000007955,아워키친,제주특별자치도 제주시 노형동 3796-10,제주특별자치도 제주시 노형4길 23,"쇼핑,소품,그릇,주방용품,관광기념품,상점/상가",제주도심 속 저렴한 리빙소품샵,33.483098,126.4772312,,070-8900-0200,,https://place.map.kakao.com/27600578#comment
"전통시장,착한가격 업소",CONT_000000000500728,제주보성시장,제주특별자치도 제주시 이도1동 1289-5,제주특별자치도 제주시 동광로1길 32,"전통시장,쇼핑,상점/상가,관광기념품",제주 원도심 속 전통 순대로 유명한 상설시장,33.503296,126.527916,63197,064-753-2085,,https://place.map.kakao.com/18525725#comment
"웰니스,만남,즐김,치유,체험,가족,쇼핑,관광기념품,상점/상가",CNTS_200000000007938,폴개협동조합,제주특별자치도 서귀포시 남원읍 남원리 493,제주특별자치도 서귀포시 남원읍 원님서로326번길 38-51,"웰니스,만남,즐김,치유,체험,가족,쇼핑,관광기념품,상점/상가","유기농 블루베리, 감귤, 인형체험 등을 할 수 있는 곳",33.3031815,126.7070102,,064-764-0116,,https://place.map.kakao.com/278230828#comment
"체험관광,쇼핑",CNTS_200000000012266,대정오일시장,제주특별자치도 서귀포시 대정읍 하모리 1089-15,제주특별자치도 서귀포시 대정읍 신영로36번길 65,"체험관광,쇼핑,전통시장,상점/상가,오일장,관광기념품",제주도 서부 지역에서 가장 큰 오일시장,33.220516,126.2483125,,,,https://place.map.kakao.com/18525728#comment
"쇼핑,플리마켓,기념품,관광기념품,상점/상가",CNTS_000000000021442,벨롱장,제주시 구좌읍 세화리 1500-63,제주특별자치도 제주시 구좌읍 세화1길 20-8,"쇼핑,플리마켓,기념품,관광기념품,상점/상가","세화리, 아름다운 바다 옆 벨롱장",33.527386,126.85676,63361,--,,정보없음
"기념품,공용주차장,아주 어려움",CNTS_000000000021075,여름문구사,제주특별자치도 제주시 구좌읍 세화리 1397-6,제주특별자치도 제주시 구좌읍 구좌로 77,"기념품,쇼핑,관광기념품,상점/상가",제주여행을 특별하게 기념할 수 있는 아기자기한 추억 보관소,33.5214,126.85893,63361,--,,https://place.map.kakao.com/27068214#comment
"쇼핑,라탄,원데이클래스,라탄 소품",CNTS_200000000007333,더솜라탄,제주특별자치도 제주시 노형동 3808-13,제주특별자치도 제주시 노형1길 8-9,"쇼핑,라탄,원데이클래스,관광기념품,상점/상가","제주 시내에 있는 더솜라탄은 잔잔한 분위기를 가지고 있는 가게이다. 공방을 함께 운영하고 있어 라탄을 직접 배우기에도 알맞다. 8월부터는 다양한 코스의 수업도 진행하는데, 라탄을 처음 접하는 사람들을 위한 초급반부터 중급반까지 자신의 수준에 맞는 라탄 수업을 들을 수 있다.",33.483098,126.4772312,,010-8987-6464,,https://place.map.kakao.com/2018003987#comment
"기념품, 소품",CNTS_200000000008041,제주i,제주특별자치도 서귀포시 성산읍 성산리 296-10,제주특별자치도 서귀포시 성산읍 일출로288번길 8,"기념품,소품,쇼핑,관광기념품,상점/상가","성산읍에 위치한 핸드메이드 소품점
",33.4637648,126.9356511,,064-784-8689,,https://place.map.kakao.com/1207539108#comment
"쇼핑,서점,기념품,현금결제,카드결제,화장실,아주 어려움",CNTS_000000000020266,딜다책방,제주특별자치도 제주시 이도1동 1691-16,제주특별자치도 제주시 삼성로1길 1,"쇼핑,서점,기념품,관광기념품,상점/상가",우리의 삶과 문화를 ‘딜다보다’,33.505493,126.527405,63194,064-723-4441,,정보없음
"부모,커플,혼자,친구,쇼핑,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,카드결제,현금결제,,영어,중국어,,단독접근가능,청각장애인 접근성,시각장애인 접근성,장애인 화장실,승강기,장애인 전용 주차장,쉬움,기념품/소품,브랜드,선글라스, 백, 여성의류, 남성의류",CNTS_200000000011393,HAN컬렉션,제주특별자치도 제주시 노형동 925,제주특별자치도 제주시 노연로 12,"부모,커플,혼자,친구,쇼핑,관광기념품,상점/상가,무장애관광",국내외에서 가장 주목받고 있는 한국 패션 디자이너 200명의 작품을 만날 수 있는 제주 최대 쇼핑공간이다.,33.4852786,126.4814609,63082,064-907-1234,,https://place.map.kakao.com/1761714561#comment
"쇼핑,소품,핸드메이드",CNTS_200000000008040,수풀,제주특별자치도 제주시 한림읍 대림리 1803-6 2층,제주특별자치도 제주시 한림읍 한수풀로 36 2층,"쇼핑,소품,핸드메이드,관광기념품,상점/상가","핸드메이드 소품들을 판매하고 있는 아기자기한 소품 숍
",33.4178654,126.2667152,,010-3908-7204,,https://place.map.kakao.com/752459708#comment
"쇼핑,실내,빈티지,협재해수욕장",CNTS_200000000008027,서쪽가게,제주특별자치도 제주시 한림읍 협재리 1751-6,제주특별자치도 제주시 한림읍 한림로 336,"쇼핑,실내,빈티지,협재해수욕장,관광기념품,상점/상가","제주 협재해수욕장 인근에 위치한 빈티지 소품 숍
",33.3933782,126.240665,,064-796-8178,,https://place.map.kakao.com/2095299060#comment
"쇼핑,공용주차장,카드결제,화장실,카드결제,현금결제,,,",CNTS_200000000012093,신세계사이먼 제주 프리미엄 전문점,"제주특별자치도 서귀포시 안덕면 서광리 산 24 신세계사이먼 제주 프리미엄 전문점 G층, B1층","제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 신세계사이먼 제주 프리미엄 전문점 G층, B1층","쇼핑,관광기념품,상점/상가",제주 여행과 라이프에 '프리미엄 쇼핑'을 더하는 제주 프리미엄 전문점,33.3017501,126.3206458,63522,02-1644-4001,,https://place.map.kakao.com/1034468162#comment
"쇼핑,관광기념품,상점/상가,착한가격 업소",CONT_000000000500722,라온명품관,제주특별자치도 제주시 한림읍 협재리 2838,제주특별자치도 제주시 한림읍 금능남로 127,"쇼핑,관광기념품,상점/상가",제주시 한림읍에 위치한 명품쇼핑관,33.3760556,126.2441268,63015,064-795-3200,,https://place.map.kakao.com/26979403#comment
"쇼핑,농수산,과즐 등",CNTS_200000000014093,도솔촌,제주특별자치도 서귀포시 하효동 1214-2,제주특별자치도 서귀포시 칠십리로 647-13,"쇼핑,럭셔리트래블인제주",한번 맛보면 멈출 수 없는 감귤 과즐,33.2659014,126.6008636,,010-4696-4536,,https://place.map.kakao.com/12166518#comment
"특산품,쇼핑,관광기념품,상점/상가,공용주차장,현금결제,카드결제,착한가격 업소",CONT_000000000500736,야호농수산,제주특별자치도 제주시 용해로 112,제주특별자치도 제주시 용해로 112,"특산품,쇼핑,관광기념품,상점/상가",제주공항 인근에 위치한 제주 농수산물 판매점,33.507515,126.504684,,064-725-1010,,https://place.map.kakao.com/18576393#comment
"공방,기념품,",CNTS_000000000022711,다시방프로젝트,제주특별자치도 제주시 조천읍 북촌리 740-16,제주특별자치도 제주시 조천읍 북촌12길 28,"공방,기념품,쇼핑,관광기념품,상점/상가","금속공예공방, 직접만드는 래터링반지",33.5467278,126.6986061,,064-901-2929,,정보없음
특산품,CNTS_000000000018932,하나로마트 구좌농협 우도점,제주특별자치도 제주시 우도면 연평리 1404-8,제주특별자치도 제주시 우도면 우도로 178,"특산품,쇼핑,관광기념품,상점/상가",우도에 유일한 하나로마트,33.508297,126.95398,,064-783-0008,,https://place.map.kakao.com/21476962#comment
쇼핑,CNTS_200000000014095,제주점토도예연구소,제주특별자치도 제주시 구좌읍 행원리 1260-16,제주특별자치도 제주시 구좌읍 행원로2길 28,"쇼핑,럭셔리트래블인제주","김경찬 작가가 안내하는 또 다른 제주, 옹기",33.5501938,126.8039367,,010-2124-1598,,https://place.map.kakao.com/1254135407#comment
"쇼핑,기념품, 특산품,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,카드결제,현금결제,,영어,,단차없음,승강기,쉬움,농수산,기념품/소품,팩/문구,브랜드,오메기 떡,흑돼지고기, 주류, 수산물, 초콜렛 등,가능",CNTS_200000000008531,선물고팡,제주특별자치도 제주시 용담이동 2745-1,제주특별자치도 제주시 월성로 15,"쇼핑,기념품,특산품,관광기념품,상점/상가,무장애관광",공항까지 무료셔틀을 지원하는 공항 인근 기념품숍. ,33.5029868,126.5049379,-,064-901-6441,,https://place.map.kakao.com/2058181539#comment
"하나로마트,서귀포시내,음식,식당,공용주차장,화장실,무료 WIFI,흡연구역,엘리베이터,장애인 전용 주차장,장애인 화장실,농수산",CNTS_200000000012742,서귀포농협하나로마트,제주특별자치도 서귀포시 토평동 880-1,제주특별자치도 서귀포시 516로 40,"하나로마트,서귀포시내,음식,식당,무장애관광",서귀포시 인근 외곽에 위치한 하나로마트로 도내에서는 큰 규모에 꼽히며 신선한 과채류와 다양한 부위의 흑돼지를 구매할 수 있으며 수산코너에서는 활어회도 구매할 수 있다.,33.257487,126.5813173,,064-767-5101,,https://place.map.kakao.com/1329491686#comment
"쇼핑,기념품,",CNTS_000000000022699,달리센트,제주특별자치도 제주시 구좌읍 종달리 1991,제주특별자치도 제주시 구좌읍 종달리 1991,"쇼핑,기념품,관광기념품,상점/상가",조용한 밭뙈기 속 놀랄만한 컬렉샵의 발견,33.490383,126.89869,,010-3268-5247,,https://place.map.kakao.com/1754063188#comment
"전통시장,공용주차장,화장실,아주 어려움,착한가격 업소",CONT_000000000500755,표선오일시장,제주특별자치도 서귀포시 표선면 표선리 1001-1,제주특별자치도 서귀포시 표선면 표선동서로 203-1,"전통시장,쇼핑,상점/상가,오일장,관광기념품",남쪽 사람들의 정겨움을 느낄 수 있는 오일시장,33.32252,126.83022,63629,064-760-4471,,https://place.map.kakao.com/18525430#comment
"전통시장,쇼핑,상점/상가,오일장,관광기념품",CONT_000000000500714,고성오일시장,제주특별자치도 서귀포시 성산읍 고성리 1180-34,제주특별자치도 서귀포시 성산읍 고성오조로 93,"전통시장,쇼핑,상점/상가,오일장,관광기념품",옛 장터 분위기를 지닌 전통시장,33.4517759,126.912796,,064-760-4281,,https://place.map.kakao.com/11696879#comment
"전통시장,공용주차장,착한가격 업소",CONT_000000000500758,한림매일시장,제주특별자치도 제주시 한림읍 한림리 1314-2,제주특별자치도 제주시 한림읍 한림로 687,"전통시장,쇼핑,상점/상가,관광기념품",옛 재래시장의 면모를 보여주는 한림매일시장,33.416092,126.26494,63031,064-796-5209,,https://place.map.kakao.com/12721347#comment
"쇼핑,농수산,오메기술 등",CNTS_200000000014101,술 다끄는 집,제주특별자치도 서귀포시 표선면 성읍리 883,제주특별자치도 서귀포시 표선면 성읍정의현로56번길 5,"쇼핑,럭셔리트래블인제주",전통 오메기술의 원형을 지키는 술도가,33.3878766,126.8016869,,010-6640-1559,,https://place.map.kakao.com/246134076#comment
"쇼핑,농수산,고소리술 등",CNTS_200000000014102,제주술익는집,제주특별자치도 서귀포시 표선면 성읍리 1410-1,제주특별자치도 서귀포시 표선면 중산간동로 4726,"쇼핑,럭셔리트래블인제주",30년째 고소리술의 물방울을 살피는 명인,33.3849016,126.79391,,064-787-5046,,https://place.map.kakao.com/1240625494#comment
"쇼핑,전통시장,,공용주차장,아주 어려움,착한가격 업소",CONT_000000000500732,서귀포향토오일시장,제주특별자치도 서귀포시 동홍동 779-1,제주특별자치도 서귀포시 중산간동로7894번길 18-5,"쇼핑,전통시장,상점/상가,오일장,관광기념품",많은 방문객으로 북적이는 도심 속 장터,33.2671561,126.5733776,63579,064-763-0965,,https://place.map.kakao.com/13324524#comment
"서점, 책,첵방,소품샵",CNTS_200000000007632,라이킷,제주특별자치도 제주시 일도1동 1215 1층,제주특별자치도 제주시 칠성로길 42-2 1층,"서점,책,첵방,소품샵,쇼핑,관광기념품,상점/상가",제주시 원도심 칠성로에 있는 독립서점,33.5141773,126.5273917,, 010-3325-8796,,https://place.map.kakao.com/123014498#comment
"쇼핑,면세점,기념품,공용주차장,현금결제,카드결제,화장실,편의점,유도 및 안내시설,경보 및 피난시설,단독접근가능,수동 휠체어 대여 가능,어려움",CONT_000000000500741,제주관광공사 중문면세점  ,제주특별자치도 서귀포시 중문관광로 224(중문동) 제주국제컨벤션센터 1F,제주특별자치도 서귀포시 중문관광로 224(중문동) 제주국제컨벤션센터 1F,"쇼핑,면세점,기념품,관광기념품,상점/상가,dutyfreeshop,무장애관광",제주특별자치도 출자 지방공기업인 제주관광공사에서 운영하는 내국인 전용 면세점,33.237755,126.425064,,064-780-7700,,https://place.map.kakao.com/9405562#comment
"캔들,기념품,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,무통장입금, 카카오톡 QR코드 진행중,영어,,아주 어려움,기념품/소품,,가능",CNTS_200000000007217,윌로우씨 ,제주특별자치도 제주시 일도1동 1148-2 동문시장(주) 2층 윌로우씨 제주 캔들공방,제주특별자치도 제주시 동문로 16 (일도1동) 동문시장(주) 2층 윌로우씨 제주 캔들공방,"캔들,기념품,쇼핑,관광기념품,상점/상가","제주스러운 기념품으로 캔들,방향제를 판매하는 곳이다.",33.555804,126.79575,836-690,010-6524-6004,,https://place.map.kakao.com/265447046#comment
"전통시장,공용주차장,단독접근가능,단차없음,장애인 화장실,장애인 전용 주차장,어려움",CNTS_000000000021519,세화해녀민속오일시장,제주특별자치도 제주시 구좌읍 세화리,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,"전통시장,쇼핑,상점/상가,오일장,관광기념품,무장애관광",세화해변을 낀 동쪽 대표 오일시장,33.526073,126.85757,63361,064-782-0520,,정보없음
"#상설시장 #제주시 #동문수산시장,전통시장,쇼핑,상점/상가,관광기념품,착한가격 업소",CONT_000000000500744,동문수산시장,제주특별자치도 제주시 이도일동 1349-1,제주특별자치도 제주시 관덕로 64-1,"#상설시장 #제주시 #동문수산시장,전통시장,쇼핑,상점/상가,관광기념품",제주 최대 규모의 수산물 전문시장,33.512669,126.5262495,,064-722-3284,,https://place.map.kakao.com/18525809#comment
"쇼핑,서점,기념품,아주 어려움",CNTS_000000000021009,라바북스,제주특별자치도 서귀포시 남원읍 위미리 3192-5 1층,제주특별자치도 서귀포시 남원읍 태위로 87 1층,"쇼핑,서점,기념품,관광기념품,상점/상가",제주 자연 속 감성을 찾을 수 있는 곳,33.274437,126.6569,63611,010-4416-0444,,https://place.map.kakao.com/26875902#comment
"의류, 소품, 빈티지",CNTS_200000000008021,에브리바디빈티지,제주특별자치도 제주시 이도1동 1493-1,제주특별자치도 제주시 관덕로8길 31,"의류,소품,빈티지,쇼핑,관광기념품,상점/상가",중앙로 부근에 위치한 빈티지 가게,33.5105024,126.5234417,,064-723-0907,,https://place.map.kakao.com/902160505#comment
"특산품,착한가격 업소",CONT_000000000500729,평화의마을,제주특별자치도 서귀포시 대정읍 구억리 308,제주특별자치도 서귀포시 대정읍 중산간서로 2195-12,"특산품,쇼핑,관광기념품,상점/상가",제주 무항생흑돼지로 수제소시지와 햄을 생산하는 곳,33.2790874,126.292444,,064-794-6277,,https://place.map.kakao.com/8917054#comment
"전통시장,기념품, 5일장, 오일장,공용주차장,화장실,아주 어려움,착한가격 업소",CONT_000000000500752,중문향토오일시장,제주특별자치도 서귀포시 중문동 2123-1,제주특별자치도 서귀포시 천제연로188번길 12,"전통시장,기념품,5일장,오일장,쇼핑,상점/상가,관광기념품",소박함과 정겨움을 느낄 수 있는 장터,33.2508555,126.4242065,63546, 064-760-2633,,https://place.map.kakao.com/20582995#comment
"전통시장,상점/상가,쇼핑,관광기념품",CNTS_200000000012176,제주 중앙지하상가,제주특별자치도 제주시 일도일동 1425-3,제주특별자치도 제주시 중앙로 지하 60,"전통시장,상점/상가,쇼핑,관광기념품",제주도 유일한 지하상가이자 쇼핑 중심지,33.5131743,126.5246997,,064-752-8776,,https://place.map.kakao.com/18526098#comment
"전통시장,공용주차장,아주 어려움",CNTS_000000000021182,함덕민속오일시장,제주특별자치도 제주시 조천읍 함덕리 972-7,제주특별자치도 제주시 조천읍 함덕16길 15-13,"전통시장,쇼핑,상점/상가,오일장,관광기념품",수수한 매력을 지니고 있는 전통시장,33.540173,126.66804,63333,064-783-8559,,정보없음
"전통시장,공용주차장,착한가격 업소",CONT_000000000500724,모슬포중앙시장,제주특별자치도 서귀포시 대정읍 하모리 841-32,제주특별자치도 서귀포시 대정읍 영서중로 3,"전통시장,쇼핑,상점/상가,관광기념품",서귀포시 대정읍 중심지에 있는 전통시장,33.22193,126.25479,63510,064-794-2586,,https://place.map.kakao.com/18526100#comment
"쇼핑,기념품,관광기념품,상점/상가,공용주차장,현금결제,카드결제,화장실,아주 어려움,착한가격 업소",CONT_000000000500750,제주칠성로상가,제주특별자치도 제주시 일도1동 1476-20,제주특별자치도 제주시 관덕로13길 12,"쇼핑,기념품,관광기념품,상점/상가",역사 깊은 제주의 문화와 쇼핑의 거리,33.514088,126.526215,63277,064-721-0827,,https://place.map.kakao.com/27175880#comment
"카카오프렌즈, 카페,기념품",CNTS_200000000008735,카카오본사,제주특별자치도 제주시 영평동 2181,제주특별자치도 제주시 첨단로 242,"카카오프렌즈,카페,기념품,쇼핑,관광기념품,상점/상가",귀여운 카카오프렌즈 캐릭터 상품을 만나볼 수 있는 복합문화공간. ,33.4500257,126.5733138,, 02-6718-1679,,https://place.map.kakao.com/18059921#comment
