업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자
㈜국제렌트카,주사업장,제주특별자치도 제주시 오일장서길 63,제주특별자치도 제주시 도두일동 2246-2,33.49713957,126.4719683,제주특별자치도 제주시 도두일동 2246-1,,,100,100,0,25,0,,,,,,,,7:45,20:00,,,,,,,,064-727-2000,2022-12-01
㈜신동아렌트카,주사업장,제주특별자치도 제주시 억삼길 10,제주특별자치도 제주시 이호이동 170-6,33.49330171,126.467781,제주특별자치도 제주시 억삼길 10,,,105,105,0,0,0,,,,,,,,7:45,20:00,,,,,,,,064-901-1100,2022-12-01
㈜에스티홀딩스,주사업장,제주특별자치도 제주시 용문로 94,제주특별자치도 제주시 용담이동 2731-2,33.50394867,126.506435,제주특별자치도 제주시 용담2동 1554-1,,,335,335,0,0,0,,,,,,,,7:45,20:00,,,,,,,,064-723-3348,2022-12-01
㈜일출렌터카,주사업장,제주특별자치도 제주시 공항로 5,제주특별자치도 제주시 용담이동 1588-2,33.50482039,126.4967932,제주특별자치도 제주시 용담3동 965,,,100,100,0,5,0,,,,,,,,7:45,20:00,,,,,,,,064-805-8780,2022-12-01
㈜소풍렌트카,주사업장,제주특별자치도 제주시 제성1길 28-1,제주특별자치도 제주시 도두이동 1157-5,33.49610385,126.4830713,제주특별자치도 제주시 도두1동 1173-1,,,202,199,3,0,0,,,,,,,,7:45,20:00,,,,,,,,064-746-3500,2022-12-01
㈜제주동백렌트카,주사업장,제주특별자치도 제주시 오광로 24,제주특별자치도 제주시 이호이동 1563,33.493334,126.455813,제주특별자치도 제주시 고하상로 412-2,,,141,141,0,20,0,,,,,,,,7:45,20:00,,,,,,,,064-744-4800,2022-12-01
롯데렌탈㈜,영업소,제주특별자치도 제주시 용해로 92,제주특별자치도 제주시 용담이동 855,33.50895004,126.5014788,제주특별자치도 제주시 용담이동 851,,,2395,2223,172,193,0,,,,,,,,7:45,20:00,,,,,,,,064-751-8000,2022-12-01
㈜차세대,영업소,제주특별자치도 제주시 명신1길 19,제주특별자치도 제주시 용담이동 707-6,33.50003101,126.5009065,제주특별자치도 서귀포시 대정읍 상모리 419,,,135,127,8,22,0,,,,,,,,7:45,20:00,,,,,,,,064-711-9030,2022-12-01
에스케이렌터카㈜(SK),영업소,제주특별자치도 제주시 용문로 62,제주특별자치도 제주시 용담이동 737-6,33.50343756,126.5019336,제주특별자치도 제주시 용담3동 2240,,,2947,2812,135,899,0,,,,,,,,7:45,20:00,,,,,,,,064-726-6461,2022-12-01
㈜경동,영업소,제주특별자치도 제주시 신대로 45,제주특별자치도 제주시 연동 300-8,33.4932207,126.4972165,제주특별자치도 서귀포시 표선면 하천리 1174,,,100,97,3,1,0,,,,,,,,7:45,20:00,,,,,,,,064-744-7475,2022-12-01
㈜레드캡,영업소,제주특별자치도 제주시 다호길 130,제주특별자치도 제주시 용담이동 1963-4,33.50320226,126.4939939,제주특별자치도 제주시 연동 2456,,,620,597,23,101,0,,,,,,,,7:45,20:00,,,,,,,,064-803-0391,2022-12-01
㈜제주스타렌탈,영업소,제주특별자치도 제주시 용문로 20,제주특별자치도 제주시 용담이동 1524-12,33.50489244,126.4983969,제주특별자치도 제주시 용담2동 1524-12,,,100,100,0,0,0,,,,,,,,7:45,20:00,,,,,,,,064-759-3372,2022-12-01
㈜제주제일렌터카,영업소,제주특별자치도 제주시 월성로4길 78,제주특별자치도 제주시 용담이동 1730-4,33.49842798,126.4982067,제주특별자치도 제주시 애월읍 상귀리 679-1,,,170,156,14,4,0,,,,,,,,7:45,20:00,,,,,,,,064-747-5670,2022-12-01
㈜해피네트웍스,영업소,제주특별자치도 제주시 일주서로 7581,제주특별자치도 제주시 이호이동 1606,33.49576,126.456506,제주특별자치도 제주시 노형동 3744-4,,,414,398,16,0,0,,,,,,,,7:45,20:00,,,,,,,,064-711-7935,2022-12-01
퍼시픽렌트카㈜,영업소,제주특별자치도 제주시 월성로4길 74-12,제주특별자치도 제주시 용담이동 1673-1,33.49935489,126.4984473,제주특별자치도 제주시 일주서로 7822,,,393,341,52,10,0,,,,,,,,7:45,20:00,,,,,,,,064-747-1541,2022-12-01
