id,업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,홈페이지주소,전화번호,데이터기준일자,네이버 평점,구글 평점,카카오 평점,이미지
73,로얄렌트카,주사업장,제주특별자치도 제주시 오일장중길 117,제주특별자치도 제주시 도두일동 1376-1,33.50007197,126.4778773,제주특별자치도 제주시 도두이동 1003,,,170,155,15,25,0,8:00,19:00,8:00,19:00,,064-749-0002,2022-12-01,,,1,
74,블루렌트카,주사업장,제주특별자치도 제주시 용문로 48,제주특별자치도 제주시 용담이동 731,33.50408533,126.5013669,제주특별자치도 제주시 용담2동 1726-1,,,486,485,1,18,0,8:00,20:00,8:00,20:00,http://jejubluerent.com/,064-713-5600,2022-12-01,3.98,3.2,1.9,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200917_228%2F1600324486948gS4XK_JPEG%2FgB_yJyRlvpdMlazo4BU_AE7y.jpg'
75,로보트렌트카,주사업장,제주특별자치도 제주시 오일장중길 117,제주특별자치도 제주시 도두일동 1375-2,33.50007197,126.4778773,제주특별자치도 제주시 도두일동 1173-2,,,101,100,1,0,0,8:00,20:00,8:00,20:00,http://jejurobot.com/,064-711-0428,2022-12-01,,,2.1,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191119_220%2F15741532751138oAax_JPEG%2F%25B7%25CE%25B0%25ED.jpg'
76,베스트,주사업장,제주특별자치도 제주시 신성마을길 112,제주특별자치도 제주시 도두이동 382-1,33.5024287,126.4862385,제주특별자치도 제주시 오라2동 1521-5,,,136,131,5,13,0,8:00,20:00,8:00,20:00,,064-711-8801,2022-12-01,,,1,
77,제주알프스렌트카,주사업장,제주특별자치도 제주시 연미3길 4,제주특별자치도 제주시 오라이동 2093-1,33.48962059,126.5066582,제주특별자치도 제주시 오라이동 2093-1,,,201,198,3,19,0,8:00,20:00,8:00,20:00,http://www.jejualps.co.kr/,064-744-0899,2022-12-01,4.17,3.6,2.9,
78,제주파워렌트카,주사업장,제주특별자치도 제주시 제성1길 67,제주특별자치도 제주시 도두일동 1168,33.49742874,126.4798388,제주특별자치도 제주시 도두2동 1002-1,,,152,152,0,20,0,8:00,20:00,8:00,20:00,http://jejupowerrent.com/,064-748-8787,2022-12-01,4.14,,1,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170412_237%2F1491956860429bfmfx_JPEG%2F186274544745389_0.jpeg'
79,제주공항전기차,주사업장,제주특별자치도 제주시 덕지4길 37,제주특별자치도 제주시 이호이동 1562-2,33.49330355,126.4552165,제주특별자치도 제주시 오광로 26,,,222,216,6,94,0,8:00,20:00,8:00,20:00,,064-749-8877,2022-12-01,,,,
80,우도전기렌트카,주사업장,제주특별자치도 제주시 우도면 우도해안길 372,제주특별자치도 제주시 우도면 연평리 2389,33.51090395,126.9436272,제주특별자치도 제주시 우도면 연평리 2389,,,100,100,0,98,0,8:00,20:00,8:00,20:00,https://udoecar.modoo.at,064-783-3355,2022-12-01,4.28,3.5,2.3,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170317_49%2F1489730398792WL6aE_JPEG%2F186265536163991_0.jpeg'
81,제주아이렌트카,주사업장,제주특별자치도 제주시 도령로 171-1,제주특별자치도 제주시 용담이동 1815,33.49636863,126.4929515,제주특별자치도 제주시 도령로 171-1,,,115,115,0,19,0,8:00,20:00,8:00,20:00,,064-748-7799,2022-12-01,,,,
82,라인렌트카,주사업장,제주특별자치도 제주시 용문로 48,제주특별자치도 제주시 용담이동 731,33.50408533,126.5013669,제주특별자치도 제주시 용문로 48,,,218,218,0,10,0,8:00,20:00,8:00,20:00,http://linerentcar.com/,064-713-5600,2022-12-01,4.06,3.5,2.6,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200910_55%2F1599715860343Wjan5_JPEG%2FgVko1JdZd5zdTMlIihs5KP7r.jpg'
83,자보렌트카,주사업장,제주특별자치도 제주시 선반로 93,제주특별자치도 제주시 화북일동 2155-1,33.51559197,126.5681039,제주특별자치도 제주시 선반로 93,,,105,102,3,9,0,8:00,20:00,8:00,20:00,http://www.carmap.co.kr/web/mplus/jumpo/mview.php?aid=%EC%9E%90%EB%B3%B4%EB%A0%8C%ED%8A%B8%EC%B9%B4%E3%88%9C&ACODE=carrental&sigun=6500000&gugun=6510000,064-749-5657,2022-12-01,,,,
84,제주원렌트카,주사업장,제주특별자치도 제주시 용해로 58-7,제주특별자치도 제주시 용담이동 920-8,33.51176421,126.5024762,제주특별자치도 제주시 용담2동 920-6,,,187,182,5,10,0,8:00,20:00,8:00,20:00,https://www.jejuonecar.kr/,064-746-1101,2022-12-01,4.36,,2.7,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221003_59%2F1664800267656O3laQ_PNG%2Fone_place.png'
85,매일렌트카,주사업장,제주특별자치도 제주시 용해로 58-15,제주특별자치도 제주시 용담이동 917-11,33.51181759,126.5021628,제주특별자치도 제주시 용해로 58-15,,,103,95,8,3,0,8:00,20:00,8:00,20:00,http://www.maeilrentcar.com/home/main/main.do?,064-744-1472,2022-12-01,,3.9,4.7,
86,비비카,주사업장,제주특별자치도 제주시 도령로 171-1,제주특별자치도 제주시 용담이동 1815,33.49636863,126.4929515,제주특별자치도 제주시 도령로 171-1,,,115,111,4,20,0,8:00,20:00,8:00,20:00,http://carmap.co.kr/web/mplus/jumpo/mview.php?aid=%E3%88%9C%EB%B9%84%EB%B9%84%EC%B9%B4&ACODE=carrental&sigun=6500000&gugun=6520000,064-747-1200,2022-12-01,,,,
87,제주유레카,주사업장,제주특별자치도 제주시 어영길 20,제주특별자치도 제주시 용담삼동 1175-1,33.51815022,126.4954018,제주특별자치도 제주시 용담3동 1177,,,100,100,0,0,0,8:00,20:00,8:00,20:00,,064-901-8008,2022-12-01,4.25,3.8,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211207_91%2F1638840139379lEqN9_JPEG%2F2.jpg'
88,스마일렌트카,주사업장,제주특별자치도 제주시 오일장서길 63,제주특별자치도 제주시 도두일동 2246-2,33.49713957,126.4719683,제주특별자치도 제주시 도두일동 2243-1,,,100,100,0,36,0,8:00,20:00,8:00,20:00,,064-727-2000,2022-12-01,,,,
89,녹원렌터카,주사업장,제주특별자치도 제주시 오일장서길 75,제주특별자치도 제주시 도두일동 2235,33.49793735,126.4712601,제주특별자치도 제주시 애월읍 유수암리 1529,,,100,98,2,5,0,8:00,20:00,8:00,20:00,https://jejunwrent.modoo.at/,064-747-3339,2022-12-01,3.25,,2.4,
90,제주보고타렌트카,주사업장,제주특별자치도 제주시 일주서로 7861,제주특별자치도 제주시 연동 1979,33.4940905,126.4865171,제주특별자치도 제주시 도두1동 1291-1,,,100,99,1,6,0,8:00,20:00,8:00,20:00,http://jejubogota.com,064-749-8553,2022-12-01,4.12,3.8,2.3,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190916_210%2F1568607086364K84ut_JPEG%2FZBvFNZlWHu4w6xiKSF1IY5fx.jpeg.jpg'
91,플러스제주렌트카,주사업장,제주특별자치도 제주시 제성1길 28-1,제주특별자치도 제주시 도두이동 1157-5,33.49610385,126.4830713,제주특별자치도 제주시 도두1동 1377-2,,,239,231,8,0,0,8:00,20:00,8:00,20:00,,064-749-8080,2022-12-01,,,,
92,레인보우모빌리티,주사업장,제주특별자치도 제주시 연삼로 145,제주특별자치도 제주시 오라삼동 2142,33.49331629,126.507731,제주특별자치도 제주시 노형동 2822,,,180,180,0,5,0,8:00,20:00,8:00,20:00,,064-749-8853,2022-12-01,,,,
93,디알,주사업장,제주특별자치도 제주시 어영길 20,제주특별자치도 제주시 용담삼동 1175-1,33.51815022,126.4954018,제주특별자치도 제주시 용담삼동 1175-1,,,150,136,14,0,0,8:00,20:00,8:00,20:00,,064-712-2657,2022-12-01,,,,
94,제주이브이전기렌트카,주사업장,제주특별자치도 제주시 공항로1길 38-1,제주특별자치도 제주시 용담이동 727-6,33.50329183,126.5004419,제주특별자치도 제주시 해안동 855-8,,,60,60,0,60,0,8:00,20:00,8:00,20:00,,064-711-5911,2022-12-01,,,,
95,제이공항렌트카,주사업장,제주특별자치도 제주시 덕지4길 37,제주특별자치도 제주시 이호이동 1562-2,33.49330355,126.4552165,제주특별자치도 제주시 이호이동 1058,,,70,70,0,8,0,8:00,20:00,8:00,20:00,,064-744-2117,2022-12-01,,,,
96,제이테크인,주사업장,제주특별자치도 제주시 다호북길 111,제주특별자치도 제주시 도두이동 414-5,33.50268813,126.4865317,제주특별자치도 제주시 이호1동 313-5,,,60,60,0,60,0,8:00,20:00,8:00,20:00,,064-742-9400,2022-12-01,,,,
97,금강렌트카,주사업장,제주특별자치도 제주시 연미길 53,제주특별자치도 제주시 오라이동 2826-1,33.4884685,126.5055299,제주특별자치도 제주시 용담3동 2220-1,,,169,169,0,31,0,8:00,20:00,8:00,20:00,https://jejurenlove.modoo.at/,064-749-2900,2022-12-01,,2.4,3.3,
98,하이렌터카,주사업장,제주특별자치도 제주시 용화로 1,제주특별자치도 제주시 용담이동 883-4,33.51009507,126.5036376,제주특별자치도 제주시 한림읍 협재리 569-1,,,100,100,0,5,0,8:00,20:00,8:00,20:00,,064-746-1101,2022-12-01,4.37,1,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220919_25%2F1663570357068t7Cpi_PNG%2Fhi_place.png'
99,국제렌트카,주사업장,제주특별자치도 제주시 오일장서길 63,제주특별자치도 제주시 도두일동 2246-2,33.49713957,126.4719683,제주특별자치도 제주시 도두일동 2246-1,,,100,100,0,25,0,8:00,20:00,8:00,20:00,,064-727-2000,2022-12-01,,,,
100,신동아렌트카,주사업장,제주특별자치도 제주시 억삼길 10,제주특별자치도 제주시 이호이동 170-6,33.49330171,126.467781,제주특별자치도 제주시 억삼길 10,,,105,105,0,0,0,8:00,20:00,8:00,20:00,http://shindonga.co.kr/,064-901-1100,2022-12-01,,4.1,4.1,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200404_261%2F15859848714411GsiV_PNG%2Fvt51cOtxh_1T4nl1KOi2tDTY.png'
101,에스티홀딩스,주사업장,제주특별자치도 제주시 용문로 94,제주특별자치도 제주시 용담이동 2731-2,33.50394867,126.506435,제주특별자치도 제주시 용담2동 1554-1,,,335,335,0,0,0,8:00,20:00,8:00,20:00,,064-723-3348,2022-12-01,,,,
102,일출렌터카,주사업장,제주특별자치도 제주시 공항로 5,제주특별자치도 제주시 용담이동 1588-2,33.50482039,126.4967932,제주특별자치도 제주시 용담3동 965,,,100,100,0,5,0,8:00,20:00,8:00,20:00,,064-805-8780,2022-12-01,,,,
103,소풍렌트카,주사업장,제주특별자치도 제주시 제성1길 28-1,제주특별자치도 제주시 도두이동 1157-5,33.49610385,126.4830713,제주특별자치도 제주시 도두1동 1173-1,,,202,199,3,0,0,8:00,20:00,8:00,20:00,,064-746-3500,2022-12-01,,,,
104,제주동백렌트카,주사업장,제주특별자치도 제주시 오광로 24,제주특별자치도 제주시 이호이동 1563,33.493334,126.455813,제주특별자치도 제주시 고하상로 412-2,,,141,141,0,20,0,8:00,20:00,8:00,20:00,,064-744-4800,2022-12-01,,,,
105,롯데렌탈,영업소,제주특별자치도 제주시 용해로 92,제주특별자치도 제주시 용담이동 855,33.50895004,126.5014788,제주특별자치도 제주시 용담이동 851,,,2395,2223,172,193,0,8:00,20:00,8:00,20:00,https://www.lotterentacar.net/hp/kor/main/index.do,064-751-8000,2022-12-01,4.41,4.3,3.8,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150820_82%2F1440035068922dFu3Q_JPEG%2FSUBMIT_1440035063241_11704744.jpg'
106,차세대,영업소,제주특별자치도 제주시 명신1길 19,제주특별자치도 제주시 용담이동 707-6,33.50003101,126.5009065,제주특별자치도 서귀포시 대정읍 상모리 419,,,135,127,8,22,0,8:00,20:00,8:00,20:00,,064-711-9030,2022-12-01,,,3.4,
107,에스케이렌터카(SK),영업소,제주특별자치도 제주시 용문로 62,제주특별자치도 제주시 용담이동 737-6,33.50343756,126.5019336,제주특별자치도 제주시 용담3동 2240,,,2947,2812,135,899,0,8:00,20:00,8:00,20:00,https://www.skcarrental.com/rent/index.do,064-726-6461,2022-12-01,4.46,4.3,3.5,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200219_214%2F158207899300840BCq_JPEG%2FbvYCRAaGH-tkBACXPnqvwGAa.jpg'
108,경동,영업소,제주특별자치도 제주시 신대로 45,제주특별자치도 제주시 연동 300-8,33.4932207,126.4972165,제주특별자치도 서귀포시 표선면 하천리 1174,,,100,97,3,1,0,8:00,20:00,8:00,20:00,,064-744-7475,2022-12-01,,,,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190122_120%2F1548138263157DuI6R_JPEG%2FtEv8vD3hGdtp5C_cyxIAJl3n.jpg'
109,레드캡,영업소,제주특별자치도 제주시 다호길 130,제주특별자치도 제주시 용담이동 1963-4,33.50320226,126.4939939,제주특별자치도 제주시 연동 2456,,,620,597,23,101,0,8:00,20:00,8:00,20:00,https://blog.naver.com/redcapstory,064-803-0391,2022-12-01,4.37,,4.5,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211215_270%2F1639528944413haThl_JPEG%2FKakaoTalk_20211214_180322543_02.jpg'
110,제주스타렌탈,영업소,제주특별자치도 제주시 용문로 20,제주특별자치도 제주시 용담이동 1524-12,33.50489244,126.4983969,제주특별자치도 제주시 용담2동 1524-12,,,100,100,0,0,0,8:00,20:00,8:00,20:00,https://jejustar.co.kr/,064-759-3372,2022-12-01,4.22,4,2,https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210723_22%2F1627021217636te7hf_JPEG%2FD8NAHZBNqrzp2qmiKGTzdbDi.jpg'
111,제주제일렌터카,영업소,제주특별자치도 제주시 월성로4길 78,제주특별자치도 제주시 용담이동 1730-4,33.49842798,126.4982067,제주특별자치도 제주시 애월읍 상귀리 679-1,,,170,156,14,4,0,8:00,20:00,8:00,20:00,http://jejubestrent.com/,064-747-5670,2022-12-01,,,4.7,
112,해피네트웍스,영업소,제주특별자치도 제주시 일주서로 7581,제주특별자치도 제주시 이호이동 1606,33.49576,126.456506,제주특별자치도 제주시 노형동 3744-4,,,414,398,16,0,0,8:00,20:00,8:00,20:00,,064-711-7935,2022-12-01,,,3.8,
113,퍼시픽렌트카,영업소,제주특별자치도 제주시 월성로4길 74-12,제주특별자치도 제주시 용담이동 1673-1,33.49935489,126.4984473,제주특별자치도 제주시 일주서로 7822,,,393,341,52,10,0,8:00,20:00,8:00,20:00,http://www.pacificrentcar.co.kr/main.asp?,064-747-1541,2022-12-01,3.54,3.2,1.6,https://search.pstatic.net/common/?autoRotate=true&amp;quality=95&amp;type=w750&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_159%2F1443163071493w2PlH_JPEG%2F166872567143551_0.jpeg'
